O*NET-SOC Code	Task ID	Task	Task Type	Incumbents Responding	Date	Domain Source
11-1021.00	936	Establish and implement departmental policies, goals, objectives, and procedures, conferring with board members, organization officials, and staff members as necessary.	Core	120	06/2008	Incumbent
11-1021.00	937	Determine staffing requirements, and interview, hire and train new employees, or oversee those personnel processes.	Core	119	06/2008	Incumbent
11-1021.00	946	Plan and direct activities such as sales promotions, coordinating with other department heads as required.	Core	117	06/2008	Incumbent
11-1021.00	941	Determine goods and services to be sold, and set prices and credit terms, based on forecasts of customer demand.	Supplemental	117	06/2008	Incumbent
11-1021.00	943	Locate, select, and procure merchandise for resale, representing management in purchase negotiations.	Supplemental	120	06/2008	Incumbent
11-1021.00	938	Monitor businesses and agencies to ensure that they efficiently and effectively provide needed services while staying within budgetary limits.	Supplemental	117	06/2008	Incumbent
11-1021.00	944	Perform sales floor work such as greeting and assisting customers, stocking shelves, and taking inventory.	Supplemental	120	06/2008	Incumbent
11-1021.00	942	Manage the movement of goods into and out of production facilities.	Supplemental	117	06/2008	Incumbent
11-1021.00	945	Develop and implement product marketing strategies including advertising campaigns and sales promotions.	Supplemental	117	06/2008	Incumbent
11-1021.00	948	Recommend locations for new facilities or oversee the remodeling of current facilities.	Supplemental	116	06/2008	Incumbent
11-1021.00	947	Direct non-merchandising departments of businesses, such as advertising and purchasing.	Supplemental	120	06/2008	Incumbent
11-1021.00	949	Plan store layouts, and design displays.	Supplemental	117	06/2008	Incumbent
11-1031.00	15267	Analyze and understand the local and national implications of proposed legislation.	n/a	n/a	06/2006	Analyst
11-1031.00	15268	Appoint nominees to leadership posts, or approve such appointments.	n/a	n/a	06/2006	Analyst
11-1031.00	15269	Confer with colleagues to formulate positions and strategies pertaining to pending issues.	n/a	n/a	06/2006	Analyst
11-1031.00	15270	Debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure.	n/a	n/a	06/2006	Analyst
11-1031.00	15271	Develop expertise in subject matters related to committee assignments.	n/a	n/a	06/2006	Analyst
11-1031.00	15272	Hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration.	n/a	n/a	06/2006	Analyst
11-1031.00	15273	Keep abreast of the issues affecting constituents by making personal visits and phone calls, reading local newspapers, and viewing or listening to local broadcasts.	n/a	n/a	06/2006	Analyst
11-1031.00	15274	Maintain knowledge of relevant national and international current events.	n/a	n/a	06/2006	Analyst
11-1031.00	15275	Make decisions that balance the perspectives of private citizens, public officials, and party leaders.	n/a	n/a	06/2006	Analyst
11-1031.00	15276	Negotiate with colleagues or members of other political parties in order to reconcile differing interests, and to create policies and agreements.	n/a	n/a	06/2006	Analyst
11-1031.00	15277	Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures.	n/a	n/a	06/2006	Analyst
11-1031.00	15278	Read and review concerns of constituents or the general public and determine if governmental action is necessary.	n/a	n/a	06/2006	Analyst
11-1031.00	15279	Represent their parties in negotiations with political executives or members of other parties, and when speaking with the media.	n/a	n/a	06/2006	Analyst
11-1031.00	15280	Review bills in committee, and make recommendations about their future.	n/a	n/a	06/2006	Analyst
11-1031.00	15281	Seek federal funding for local projects and programs.	n/a	n/a	06/2006	Analyst
11-1031.00	15282	Serve on commissions, investigative panels, study groups, and committees in order to examine specialized areas and recommend action.	n/a	n/a	06/2006	Analyst
11-1031.00	15283	Vote on motions, amendments, and decisions on whether or not to report a bill out from committee to the assembly floor.	n/a	n/a	06/2006	Analyst
11-1031.00	15284	Write, prepare, and deliver statements for the Congressional Record.	n/a	n/a	06/2006	Analyst
11-1031.00	15285	Alert constituents of government actions and programs by way of newsletters, personal appearances at town meetings, phone calls, and individual meetings.	n/a	n/a	06/2006	Analyst
11-1031.00	15286	Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships.	n/a	n/a	06/2006	Analyst
11-1031.00	15287	Conduct "head counts" to help predict the outcome of upcoming votes.	n/a	n/a	06/2006	Analyst
11-1031.00	15288	Determine campaign strategies for media advertising, positions on issues, and public appearances.	n/a	n/a	06/2006	Analyst
11-1031.00	15289	Encourage and support party candidates for political office.	n/a	n/a	06/2006	Analyst
11-1031.00	15290	Establish personal offices in local districts or states, and manage office staff.	n/a	n/a	06/2006	Analyst
11-1031.00	15291	Evaluate the structure, efficiency, activities, and performance of government agencies.	n/a	n/a	06/2006	Analyst
11-1031.00	15292	Organize and maintain campaign organizations and fundraisers, in order to raise money for election or re-election.	n/a	n/a	06/2006	Analyst
11-1031.00	15293	Oversee expense allowances, ensuring that accounts are balanced at the end of each fiscal year.	n/a	n/a	06/2006	Analyst
11-1031.00	15294	Promote the industries and products of their electoral districts.	n/a	n/a	06/2006	Analyst
11-1031.00	15295	Represent their government at local, national, and international meetings and conferences.	n/a	n/a	06/2006	Analyst
11-1031.00	15296	Speak to students to encourage and support the development of future political leaders.	n/a	n/a	06/2006	Analyst
11-2011.00	3223	Prepare budgets and submit estimates for program costs as part of campaign plan development.	Core	135	12/2004	Incumbent
11-2011.00	3224	Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments and advertising agencies.	Core	137	12/2004	Incumbent
11-2011.00	3225	Assist with annual budget development.	Core	138	12/2004	Incumbent
11-2011.00	3226	Inspect layouts and advertising copy and edit scripts, audio and video tapes, and other promotional material for adherence to specifications.	Core	138	12/2004	Incumbent
11-2011.00	3227	Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.	Core	137	12/2004	Incumbent
11-2011.00	3228	Prepare and negotiate advertising and sales contracts.	Core	137	12/2004	Incumbent
11-2011.00	3229	Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets such as dealers, distributors, or consumers.	Core	136	12/2004	Incumbent
11-2011.00	3230	Gather and organize information to plan advertising campaigns.	Core	137	12/2004	Incumbent
11-2011.00	3231	Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.	Core	138	12/2004	Incumbent
11-2011.00	3232	Confer with clients to provide marketing or technical advice.	Core	138	12/2004	Incumbent
11-2011.00	3233	Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.	Core	137	12/2004	Incumbent
11-2011.00	3234	Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.	Core	136	12/2004	Incumbent
11-2011.00	3235	Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.	Supplemental	134	12/2004	Incumbent
11-2011.00	3236	Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.	Supplemental	137	12/2004	Incumbent
11-2011.00	3237	Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.	Supplemental	134	12/2004	Incumbent
11-2011.00	3238	Plan and execute advertising policies and strategies for organizations.	Supplemental	137	12/2004	Incumbent
11-2011.00	3239	Track program budgets and expenses and campaign response rates to evaluate each campaign based on program objectives and industry norms.	Supplemental	136	12/2004	Incumbent
11-2011.00	3240	Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support and action, to further campaign goals.	Supplemental	133	12/2004	Incumbent
11-2011.00	3241	Train and direct workers engaged in developing and producing advertisements.	Supplemental	135	12/2004	Incumbent
11-2011.00	3242	Coordinate with the media to disseminate advertising.	Supplemental	136	12/2004	Incumbent
11-2011.00	3243	Contact organizations to explain services and facilities offered.	Supplemental	134	12/2004	Incumbent
11-2011.00	3244	Direct and coordinate product research and development.	Supplemental	134	12/2004	Incumbent
11-2011.00	3245	Represent company at trade association meetings to promote products.	Supplemental	136	12/2004	Incumbent
11-2011.00	3246	Consult publications to learn about conventions and social functions and to organize prospect files for promotional purposes.	Supplemental	137	12/2004	Incumbent
11-2011.01	15404	Develop comprehensive marketing strategies, using knowledge of green energy products, markets, and regulations.	n/a	n/a	06/2009	Analyst
11-2011.01	15403	Develop branding or sales initiatives for green energy products.	n/a	n/a	06/2009	Analyst
11-2011.01	15402	Analyze green energy marketing or sales trends to forecast future conditions.	n/a	n/a	06/2009	Analyst
11-2011.01	15401	Analyze regional energy markets, including energy pricing, market structures, energy generation competition, and energy transmission constraints.	n/a	n/a	06/2009	Analyst
11-2011.01	15400	Analyze the effectiveness of marketing tactics or channels.	n/a	n/a	06/2009	Analyst
11-2011.01	15399	Attend or participate in conferences or meetings to promote green energy, environmental protection, or energy conservation.	n/a	n/a	06/2009	Analyst
11-2011.01	15397	Conduct energy pricing analyses for specific clients or client groups.	n/a	n/a	06/2009	Analyst
11-2011.01	15398	Conduct research on consumer opinions and marketing strategies related to green energy technologies.	n/a	n/a	06/2009	Analyst
11-2011.01	15396	Consult with clients to identify potential energy efficiency opportunities or to promote green energy alternatives.	n/a	n/a	06/2009	Analyst
11-2011.01	15395	Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of, and participation in, green energy initiatives.	n/a	n/a	06/2009	Analyst
11-2011.01	15394	Identify marketing channels for green energy products or services.	n/a	n/a	06/2009	Analyst
11-2011.01	15393	Monitor energy market or regulatory conditions to identify buying or other business opportunities.	n/a	n/a	06/2009	Analyst
11-2011.01	15392	Revise existing marketing plans or campaigns for green products or services.	n/a	n/a	06/2009	Analyst
11-2011.01	15391	Write marketing content for green energy web sites, brochures or other communication media.	n/a	n/a	06/2009	Analyst
11-2011.01	15390	Conduct market simulations for wind, solar, or geothermal energy projects.	n/a	n/a	06/2009	Analyst
11-2011.01	15389	Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.	n/a	n/a	06/2009	Analyst
11-2011.01	15388	Generate or identify sales leads for green energy.	n/a	n/a	06/2009	Analyst
11-2011.01	15387	Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas.	n/a	n/a	06/2009	Analyst
11-2011.01	15386	Monitor energy industry statistics or literature to identify trends.	n/a	n/a	06/2009	Analyst
11-2011.01	15385	Prepare renewable energy communications in response to public relations or promotional inquiries.	n/a	n/a	06/2009	Analyst
11-2021.00	953	Formulate, direct and coordinate marketing activities and policies to promote products and services, working with advertising and promotion managers.	Core	25	06/2008	Occupational Expert
11-2021.00	951	Identify, develop, and evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.	Core	25	06/2008	Occupational Expert
11-2021.00	954	Direct the hiring, training, and performance evaluations of marketing and sales staff and oversee their daily activities.	Core	25	06/2008	Occupational Expert
11-2021.00	952	Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, and return-on-investment and profit-loss projections.	Core	25	06/2008	Occupational Expert
11-2021.00	950	Develop pricing strategies, balancing firm objectives and customer satisfaction.	Core	25	06/2008	Occupational Expert
11-2021.00	957	Compile lists describing product or service offerings.	Core	25	06/2008	Occupational Expert
11-2021.00	963	Initiate market research studies and analyze their findings.	Core	25	06/2008	Occupational Expert
11-2021.00	958	Use sales forecasting and strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.	Core	25	06/2008	Occupational Expert
11-2021.00	961	Coordinate and participate in promotional activities and trade shows, working with developers, advertisers, and production managers, to market products and services.	Core	25	06/2008	Occupational Expert
11-2021.00	964	Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.	Core	25	06/2008	Occupational Expert
11-2021.00	965	Conduct economic and commercial surveys to identify potential markets for products and services.	Core	25	06/2008	Occupational Expert
11-2021.00	959	Select products and accessories to be displayed at trade or special production shows.	Core	25	06/2008	Occupational Expert
11-2021.00	955	Negotiate contracts with vendors and distributors to manage product distribution, establishing distribution networks and developing distribution strategies.	Supplemental	24	06/2008	Occupational Expert
11-2021.00	956	Consult with product development personnel on product specifications such as design, color, and packaging.	Supplemental	25	06/2008	Occupational Expert
11-2021.00	962	Advise business and other groups on local, national, and international factors affecting the buying and selling of products and services.	Supplemental	25	06/2008	Occupational Expert
11-2021.00	960	Confer with legal staff to resolve problems, such as copyright infringement and royalty sharing with outside producers and distributors.	Supplemental	25	06/2008	Occupational Expert
11-2022.00	1	Resolve customer complaints regarding sales and service.	Core	21	06/2008	Occupational Expert
11-2022.00	14	Oversee regional and local sales managers and their staffs.	Core	21	06/2008	Occupational Expert
11-2022.00	11	Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.	Core	21	06/2008	Occupational Expert
11-2022.00	4	Determine price schedules and discount rates.	Core	21	06/2008	Occupational Expert
11-2022.00	5	Review operational records and reports to project sales and determine profitability.	Core	21	06/2008	Occupational Expert
11-2022.00	2	Monitor customer preferences to determine focus of sales efforts.	Core	21	06/2008	Occupational Expert
11-2022.00	9	Prepare budgets and approve budget expenditures.	Core	21	06/2008	Occupational Expert
11-2022.00	7	Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.	Core	21	06/2008	Occupational Expert
11-2022.00	3	Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate or other subjects of sale.	Supplemental	21	06/2008	Occupational Expert
11-2022.00	13	Confer with potential customers regarding equipment needs and advise customers on types of equipment to purchase.	Supplemental	21	06/2008	Occupational Expert
11-2022.00	16	Direct foreign sales and service outlets of an organization.	Supplemental	21	06/2008	Occupational Expert
11-2022.00	8	Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.	Supplemental	21	06/2008	Occupational Expert
11-2022.00	12	Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.	Supplemental	21	06/2008	Occupational Expert
11-2022.00	15	Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions.	Supplemental	21	06/2008	Occupational Expert
11-2022.00	6	Direct, coordinate, and review activities in sales and service accounting and recordkeeping, and in receiving and shipping operations.	Supplemental	21	06/2008	Occupational Expert
11-2022.00	17	Assess marketing potential of new and existing store locations, considering statistics and expenditures.	Supplemental	21	06/2008	Occupational Expert
11-2022.00	10	Represent company at trade association meetings to promote products.	Supplemental	21	06/2008	Occupational Expert
11-2031.00	18461	Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new business opportunities.	Core	102	06/2009	Incumbent
11-2031.00	3248	Write interesting and effective press releases, prepare information for media kits and develop and maintain company internet or intranet web pages.	Core	103	06/2009	Incumbent
11-2031.00	18462	Identify main client groups and audiences, determine the best way to communicate publicity information to them, and develop and implement a communication plan.	Core	103	06/2009	Incumbent
11-2031.00	3253	Assign, supervise and review the activities of public relations staff.	Core	103	06/2009	Incumbent
11-2031.00	3249	Develop and maintain the company's corporate image and identity, which includes the use of logos and signage.	Core	103	06/2009	Incumbent
11-2031.00	3259	Respond to requests for information about employers' activities or status.	Core	103	06/2009	Incumbent
11-2031.00	3250	Manage communications budgets.	Core	103	06/2009	Incumbent
11-2031.00	3257	Direct activities of external agencies, establishments and departments that develop and implement communication strategies and information programs.	Core	100	06/2009	Incumbent
11-2031.00	3252	Draft speeches for company executives, and arrange interviews and other forms of contact for them.	Core	103	06/2009	Incumbent
11-2031.00	3254	Evaluate advertising and promotion programs for compatibility with public relations efforts.	Core	103	06/2009	Incumbent
11-2031.00	3251	Manage special events such as sponsorship of races, parties introducing new products, or other activities the firm supports to gain public attention through the media without advertising directly.	Core	103	06/2009	Incumbent
11-2031.00	3261	Facilitate consumer relations, or the relationship between parts of the company such as the managers and employees, or different branch offices.	Core	103	06/2009	Incumbent
11-2031.00	3258	Formulate policies and procedures related to public information programs, working with public relations executives.	Core	103	06/2009	Incumbent
11-2031.00	3260	Establish goals for soliciting funds, develop policies for collection and safeguarding of contributions, and coordinate disbursement of funds.	Supplemental	103	06/2009	Incumbent
11-2031.00	3256	Confer with labor relations managers to develop internal communications that keep employees informed of company activities.	Supplemental	103	06/2009	Incumbent
11-2031.00	3264	Produce films and other video products, regulate their distribution, and operate film library.	Supplemental	103	06/2009	Incumbent
11-2031.00	3265	Observe and report on social, economic and political trends that might affect employers.	Supplemental	103	06/2009	Incumbent
11-2031.00	3262	Maintain company archives.	Supplemental	103	06/2009	Incumbent
11-2031.00	3263	Manage in-house communication courses.	Supplemental	103	06/2009	Incumbent
11-3011.00	19	Direct or coordinate the supportive services department of a business, agency, or organization.	Core	115	06/2009	Incumbent
11-3011.00	21	Prepare and review operational reports and schedules to ensure accuracy and efficiency.	Core	113	06/2009	Incumbent
11-3011.00	20	Set goals and deadlines for the department.	Core	114	06/2009	Incumbent
11-3011.00	23	Acquire, distribute and store supplies.	Core	116	06/2009	Incumbent
11-3011.00	22	Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.	Core	116	06/2009	Incumbent
11-3011.00	24	Plan, administer and control budgets for contracts, equipment and supplies.	Supplemental	116	06/2009	Incumbent
11-3011.00	18	Monitor the facility to ensure that it remains safe, secure, and well-maintained.	Supplemental	116	06/2009	Incumbent
11-3011.00	26	Hire and terminate clerical and administrative personnel.	Supplemental	116	06/2009	Incumbent
11-3011.00	27	Oversee the maintenance and repair of machinery, equipment, and electrical and mechanical systems.	Supplemental	114	06/2009	Incumbent
11-3011.00	25	Oversee construction and renovation projects to improve efficiency and to ensure that facilities meet environmental, health, and security standards, and comply with government regulations.	Supplemental	113	06/2009	Incumbent
11-3011.00	30	Conduct classes to teach procedures to staff.	Supplemental	112	06/2009	Incumbent
11-3011.00	29	Participate in architectural and engineering planning and design, including space and installation management.	Supplemental	114	06/2009	Incumbent
11-3011.00	28	Manage leasing of facility space.	Supplemental	114	06/2009	Incumbent
11-3011.00	31	Dispose of, or oversee the disposal of, surplus or unclaimed property.	Supplemental	115	06/2009	Incumbent
11-3021.00	978	Review project plans to plan and coordinate project activity.	Core	120	06/2008	Incumbent
11-3021.00	966	Manage backup, security and user help systems.	Core	120	06/2008	Incumbent
11-3021.00	976	Develop and interpret organizational goals, policies, and procedures.	Core	120	06/2008	Incumbent
11-3021.00	971	Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.	Core	120	06/2008	Incumbent
11-3021.00	967	Consult with users, management, vendors, and technicians to assess computing needs and system requirements.	Core	120	06/2008	Incumbent
11-3021.00	970	Stay abreast of advances in technology.	Core	119	06/2008	Incumbent
11-3021.00	975	Meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems.	Core	120	06/2008	Incumbent
11-3021.00	15198	Provide users with technical support for computer problems.	Core	120	06/2008	Incumbent
11-3021.00	977	Recruit, hire, train and supervise staff, or participate in staffing decisions.	Core	120	06/2008	Incumbent
11-3021.00	979	Evaluate data processing proposals to assess project feasibility and requirements.	Core	117	06/2008	Incumbent
11-3021.00	974	Control operational budget and expenditures.	Core	119	06/2008	Incumbent
11-3021.00	972	Review and approve all systems charts and programs prior to their implementation.	Core	119	06/2008	Incumbent
11-3021.00	968	Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.	Core	119	06/2008	Incumbent
11-3021.00	969	Assign and review the work of systems analysts, programmers, and other computer-related workers.	Core	120	06/2008	Incumbent
11-3021.00	973	Evaluate the organization's technology use and needs and recommend improvements, such as hardware and software upgrades.	Core	120	06/2008	Incumbent
11-3021.00	980	Prepare and review operational reports or project progress reports.	Core	120	06/2008	Incumbent
11-3021.00	981	Purchase necessary equipment.	Core	119	06/2008	Incumbent
11-3031.01	8855	Prepare and file annual tax returns or prepare financial information so that outside accountants can complete tax returns.	Core	173	06/2006	Incumbent
11-3031.01	8856	Prepare or direct preparation of financial statements, business activity reports, financial position forecasts, annual budgets, or reports required by regulatory agencies.	Core	172	06/2006	Incumbent
11-3031.01	8857	Supervise employees performing financial reporting, accounting, billing, collections, payroll, and budgeting duties.	Core	172	06/2006	Incumbent
11-3031.01	8858	Delegate authority for the receipt, disbursement, banking, protection, and custody of funds, securities, and financial instruments.	Core	172	06/2006	Incumbent
11-3031.01	8859	Maintain current knowledge of organizational policies and procedures, federal and state policies and directives, and current accounting standards.	Core	173	06/2006	Incumbent
11-3031.01	8860	Conduct or coordinate audits of company accounts and financial transactions to ensure compliance with state and federal requirements and statutes.	Core	173	06/2006	Incumbent
11-3031.01	8861	Receive, record, and authorize requests for disbursements in accordance with company policies and procedures.	Core	173	06/2006	Incumbent
11-3031.01	8862	Monitor financial activities and details such as reserve levels to ensure that all legal and regulatory requirements are met.	Core	172	06/2006	Incumbent
11-3031.01	8863	Monitor and evaluate the performance of accounting and other financial staff, recommending and implementing personnel actions, such as promotions and dismissals.	Core	173	06/2006	Incumbent
11-3031.01	8864	Develop and maintain relationships with banking, insurance, and nonorganizational accounting personnel to facilitate financial activities.	Core	172	06/2006	Incumbent
11-3031.01	8865	Coordinate and direct the financial planning, budgeting, procurement, or investment activities of all or part of an organization.	Core	172	06/2006	Incumbent
11-3031.01	8866	Develop internal control policies, guidelines, and procedures for activities such as budget administration, cash and credit management, and accounting.	Core	172	06/2006	Incumbent
11-3031.01	8867	Analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.	Core	172	06/2006	Incumbent
11-3031.01	8868	Advise management on short-term and long-term financial objectives, policies, and actions.	Core	173	06/2006	Incumbent
11-3031.01	8869	Provide direction and assistance to other organizational units regarding accounting and budgeting policies and procedures and efficient control and utilization of financial resources.	Core	172	06/2006	Incumbent
11-3031.01	8870	Evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations.	Core	172	06/2006	Incumbent
11-3031.01	8871	Lead staff training and development in budgeting and financial management areas.	Core	171	06/2006	Incumbent
