O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-1021.00	1.C.4.b	Stress Tolerance	IM	4.35	44	0.14	4.07	4.64	N	06/2008	Incumbent
11-1021.00	1.C.4.c	Adaptability/Flexibility	IM	4.21	44	0.18	3.84	4.58	N	06/2008	Incumbent
11-1021.00	1.C.5.a	Dependability	IM	4.73	44	0.08	4.57	4.89	N	06/2008	Incumbent
11-1021.00	1.C.5.b	Attention to Detail	IM	4.52	44	0.11	4.29	4.75	N	06/2008	Incumbent
11-1021.00	1.C.5.c	Integrity	IM	4.36	44	0.14	4.07	4.65	N	06/2008	Incumbent
11-1021.00	1.C.6	Independence	IM	3.96	44	0.15	3.66	4.27	N	06/2008	Incumbent
11-1021.00	1.C.7.a	Innovation	IM	3.88	44	0.22	3.44	4.32	N	06/2008	Incumbent
11-1021.00	1.C.7.b	Analytical Thinking	IM	4.22	44	0.17	3.88	4.55	N	06/2008	Incumbent
11-2011.00	1.C.1.a	Achievement/Effort	IM	4.22	39	0.17	3.87	4.56	N	12/2004	Incumbent
11-2011.00	1.C.1.b	Persistence	IM	4.24	39	0.17	3.89	4.59	N	12/2004	Incumbent
11-2011.00	1.C.1.c	Initiative	IM	4.28	39	0.18	3.92	4.65	N	12/2004	Incumbent
11-2011.00	1.C.2.b	Leadership	IM	4.02	39	0.17	3.68	4.36	N	12/2004	Incumbent
11-2011.00	1.C.3.a	Cooperation	IM	4.25	38	0.13	3.98	4.52	N	12/2004	Incumbent
11-2011.00	1.C.3.b	Concern for Others	IM	4.01	39	0.13	3.75	4.28	N	12/2004	Incumbent
11-2011.00	1.C.3.c	Social Orientation	IM	3.85	39	0.17	3.50	4.20	N	12/2004	Incumbent
11-2011.00	1.C.4.a	Self Control	IM	4.26	39	0.17	3.91	4.60	N	12/2004	Incumbent
11-2011.00	1.C.4.b	Stress Tolerance	IM	4.25	39	0.17	3.91	4.59	N	12/2004	Incumbent
11-2011.00	1.C.4.c	Adaptability/Flexibility	IM	4.30	39	0.17	3.96	4.63	N	12/2004	Incumbent
11-2011.00	1.C.5.a	Dependability	IM	4.77	39	0.12	4.54	5.00	N	12/2004	Incumbent
11-2011.00	1.C.5.b	Attention to Detail	IM	4.80	39	0.10	4.59	5.00	N	12/2004	Incumbent
11-2011.00	1.C.5.c	Integrity	IM	4.56	39	0.25	4.05	5.00	N	12/2004	Incumbent
11-2011.00	1.C.6	Independence	IM	4.06	38	0.15	3.76	4.36	N	12/2004	Incumbent
11-2011.00	1.C.7.a	Innovation	IM	4.49	39	0.23	4.04	4.95	N	12/2004	Incumbent
11-2011.00	1.C.7.b	Analytical Thinking	IM	3.90	39	0.10	3.70	4.10	N	12/2004	Incumbent
11-2021.00	1.C.1.a	Achievement/Effort	IM	4.24	25	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2021.00	1.C.1.b	Persistence	IM	4.28	25	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2021.00	1.C.1.c	Initiative	IM	4.32	25	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2021.00	1.C.2.b	Leadership	IM	4.36	25	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2021.00	1.C.3.a	Cooperation	IM	4.44	25	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2021.00	1.C.3.b	Concern for Others	IM	3.72	25	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2021.00	1.C.3.c	Social Orientation	IM	3.88	25	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2021.00	1.C.4.a	Self Control	IM	4.04	25	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2021.00	1.C.4.b	Stress Tolerance	IM	4.20	25	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2021.00	1.C.4.c	Adaptability/Flexibility	IM	4.24	25	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2021.00	1.C.5.a	Dependability	IM	4.56	25	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2021.00	1.C.5.b	Attention to Detail	IM	4.48	25	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2021.00	1.C.5.c	Integrity	IM	4.40	25	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2021.00	1.C.6	Independence	IM	4.20	25	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2021.00	1.C.7.a	Innovation	IM	4.08	25	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2021.00	1.C.7.b	Analytical Thinking	IM	3.84	25	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2022.00	1.C.1.a	Achievement/Effort	IM	4.52	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2022.00	1.C.1.b	Persistence	IM	4.43	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2022.00	1.C.1.c	Initiative	IM	4.48	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2022.00	1.C.2.b	Leadership	IM	4.52	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2022.00	1.C.3.a	Cooperation	IM	3.95	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2022.00	1.C.3.b	Concern for Others	IM	3.81	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2022.00	1.C.3.c	Social Orientation	IM	3.62	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2022.00	1.C.4.a	Self Control	IM	4.33	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2022.00	1.C.4.b	Stress Tolerance	IM	4.29	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2022.00	1.C.4.c	Adaptability/Flexibility	IM	4.24	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2022.00	1.C.5.a	Dependability	IM	4.57	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2022.00	1.C.5.b	Attention to Detail	IM	4.10	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2022.00	1.C.5.c	Integrity	IM	4.67	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2022.00	1.C.6	Independence	IM	4.05	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2022.00	1.C.7.a	Innovation	IM	3.62	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2022.00	1.C.7.b	Analytical Thinking	IM	4.00	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-2031.00	1.C.1.a	Achievement/Effort	IM	4.36	36	0.15	4.06	4.67	N	06/2009	Incumbent
11-2031.00	1.C.1.b	Persistence	IM	4.30	36	0.19	3.91	4.69	N	06/2009	Incumbent
11-2031.00	1.C.1.c	Initiative	IM	4.38	36	0.21	3.96	4.80	N	06/2009	Incumbent
11-2031.00	1.C.2.b	Leadership	IM	4.33	36	0.16	4.01	4.65	N	06/2009	Incumbent
11-2031.00	1.C.3.a	Cooperation	IM	4.42	36	0.11	4.19	4.64	N	06/2009	Incumbent
11-2031.00	1.C.3.b	Concern for Others	IM	4.31	36	0.14	4.03	4.58	N	06/2009	Incumbent
11-2031.00	1.C.3.c	Social Orientation	IM	4.26	36	0.15	3.95	4.58	N	06/2009	Incumbent
11-2031.00	1.C.4.a	Self Control	IM	4.26	36	0.17	3.91	4.60	N	06/2009	Incumbent
11-2031.00	1.C.4.b	Stress Tolerance	IM	4.47	36	0.11	4.24	4.69	N	06/2009	Incumbent
11-2031.00	1.C.4.c	Adaptability/Flexibility	IM	4.35	36	0.13	4.09	4.62	N	06/2009	Incumbent
11-2031.00	1.C.5.a	Dependability	IM	4.57	36	0.11	4.34	4.79	N	06/2009	Incumbent
11-2031.00	1.C.5.b	Attention to Detail	IM	4.62	36	0.14	4.33	4.90	N	06/2009	Incumbent
11-2031.00	1.C.5.c	Integrity	IM	4.57	36	0.18	4.20	4.93	N	06/2009	Incumbent
11-2031.00	1.C.6	Independence	IM	4.31	36	0.15	4.01	4.61	N	06/2009	Incumbent
11-2031.00	1.C.7.a	Innovation	IM	4.21	36	0.18	3.85	4.57	N	06/2009	Incumbent
11-2031.00	1.C.7.b	Analytical Thinking	IM	3.99	36	0.17	3.66	4.33	N	06/2009	Incumbent
11-3011.00	1.C.1.a	Achievement/Effort	IM	3.46	37	0.27	2.92	4.01	N	06/2009	Incumbent
11-3011.00	1.C.1.b	Persistence	IM	3.59	37	0.28	3.03	4.15	N	06/2009	Incumbent
11-3011.00	1.C.1.c	Initiative	IM	4.37	37	0.14	4.10	4.65	N	06/2009	Incumbent
11-3011.00	1.C.2.b	Leadership	IM	4.00	37	0.20	3.60	4.40	N	06/2009	Incumbent
11-3011.00	1.C.3.a	Cooperation	IM	4.52	37	0.11	4.29	4.75	N	06/2009	Incumbent
11-3011.00	1.C.3.b	Concern for Others	IM	4.21	37	0.24	3.73	4.69	N	06/2009	Incumbent
11-3011.00	1.C.3.c	Social Orientation	IM	3.46	37	0.43	2.58	4.34	N	06/2009	Incumbent
11-3011.00	1.C.4.a	Self Control	IM	4.37	37	0.26	3.85	4.90	N	06/2009	Incumbent
11-3011.00	1.C.4.b	Stress Tolerance	IM	4.19	37	0.24	3.71	4.66	N	06/2009	Incumbent
11-3011.00	1.C.4.c	Adaptability/Flexibility	IM	4.27	37	0.13	4.00	4.54	N	06/2009	Incumbent
11-3011.00	1.C.5.a	Dependability	IM	4.73	37	0.09	4.54	4.92	N	06/2009	Incumbent
11-3011.00	1.C.5.b	Attention to Detail	IM	4.63	37	0.12	4.40	4.87	N	06/2009	Incumbent
11-3011.00	1.C.5.c	Integrity	IM	4.77	37	0.09	4.58	4.95	N	06/2009	Incumbent
11-3011.00	1.C.6	Independence	IM	4.49	37	0.13	4.21	4.76	N	06/2009	Incumbent
11-3011.00	1.C.7.a	Innovation	IM	3.55	37	0.14	3.27	3.82	N	06/2009	Incumbent
11-3011.00	1.C.7.b	Analytical Thinking	IM	3.48	37	0.26	2.94	4.01	N	06/2009	Incumbent
11-3021.00	1.C.1.a	Achievement/Effort	IM	3.95	32	0.11	3.73	4.17	N	06/2008	Incumbent
11-3021.00	1.C.1.b	Persistence	IM	3.43	32	0.19	3.04	3.82	N	06/2008	Incumbent
11-3021.00	1.C.1.c	Initiative	IM	4.00	32	0.11	3.78	4.23	N	06/2008	Incumbent
11-3021.00	1.C.2.b	Leadership	IM	4.11	32	0.14	3.83	4.38	N	06/2008	Incumbent
11-3021.00	1.C.3.a	Cooperation	IM	4.37	32	0.23	3.91	4.83	N	06/2008	Incumbent
11-3021.00	1.C.3.b	Concern for Others	IM	4.09	32	0.31	3.46	4.73	N	06/2008	Incumbent
11-3021.00	1.C.3.c	Social Orientation	IM	2.94	32	0.25	2.44	3.44	N	06/2008	Incumbent
11-3021.00	1.C.4.a	Self Control	IM	4.00	31	0.12	3.75	4.25	N	06/2008	Incumbent
11-3021.00	1.C.4.b	Stress Tolerance	IM	3.57	32	0.41	2.72	4.41	N	06/2008	Incumbent
11-3021.00	1.C.4.c	Adaptability/Flexibility	IM	4.71	32	0.14	4.43	5.00	N	06/2008	Incumbent
11-3021.00	1.C.5.a	Dependability	IM	4.75	32	0.13	4.49	5.00	N	06/2008	Incumbent
11-3021.00	1.C.5.b	Attention to Detail	IM	4.41	32	0.20	4.01	4.82	N	06/2008	Incumbent
11-3021.00	1.C.5.c	Integrity	IM	4.76	32	0.13	4.49	5.00	N	06/2008	Incumbent
11-3021.00	1.C.6	Independence	IM	4.17	32	0.35	3.46	4.89	N	06/2008	Incumbent
11-3021.00	1.C.7.a	Innovation	IM	4.00	32	0.05	3.91	4.10	N	06/2008	Incumbent
11-3021.00	1.C.7.b	Analytical Thinking	IM	4.23	32	0.12	3.99	4.48	N	06/2008	Incumbent
11-3031.01	1.C.1.a	Achievement/Effort	IM	4.04	40	0.12	3.79	4.29	N	06/2006	Incumbent
11-3031.01	1.C.1.b	Persistence	IM	4.18	40	0.12	3.94	4.42	N	06/2006	Incumbent
11-3031.01	1.C.1.c	Initiative	IM	4.17	40	0.13	3.91	4.43	N	06/2006	Incumbent
11-3031.01	1.C.2.b	Leadership	IM	3.64	40	0.34	2.96	4.33	N	06/2006	Incumbent
11-3031.01	1.C.3.a	Cooperation	IM	4.75	40	0.14	4.47	5.00	N	06/2006	Incumbent
11-3031.01	1.C.3.b	Concern for Others	IM	3.48	40	0.26	2.95	4.01	N	06/2006	Incumbent
11-3031.01	1.C.3.c	Social Orientation	IM	3.25	40	0.22	2.81	3.70	N	06/2006	Incumbent
11-3031.01	1.C.4.a	Self Control	IM	3.95	40	0.16	3.63	4.27	N	06/2006	Incumbent
11-3031.01	1.C.4.b	Stress Tolerance	IM	3.63	40	0.33	2.95	4.30	N	06/2006	Incumbent
11-3031.01	1.C.4.c	Adaptability/Flexibility	IM	3.60	40	0.32	2.95	4.25	N	06/2006	Incumbent
11-3031.01	1.C.5.a	Dependability	IM	4.36	39	0.21	3.95	4.78	N	06/2006	Incumbent
11-3031.01	1.C.5.b	Attention to Detail	IM	4.34	40	0.19	3.96	4.73	N	06/2006	Incumbent
11-3031.01	1.C.5.c	Integrity	IM	4.94	40	0.06	4.82	5.00	N	06/2006	Incumbent
11-3031.01	1.C.6	Independence	IM	4.20	40	0.14	3.90	4.49	N	06/2006	Incumbent
11-3031.01	1.C.7.a	Innovation	IM	3.93	40	0.13	3.66	4.19	N	06/2006	Incumbent
11-3031.01	1.C.7.b	Analytical Thinking	IM	4.70	40	0.17	4.36	5.00	N	06/2006	Incumbent
11-3031.02	1.C.1.a	Achievement/Effort	IM	4.33	16	0.24	3.81	4.85	N	06/2006	Incumbent
11-3031.02	1.C.1.b	Persistence	IM	3.76	16	0.24	3.25	4.27	N	06/2006	Incumbent
11-3031.02	1.C.1.c	Initiative	IM	4.06	16	0.40	3.19	4.92	N	06/2006	Incumbent
11-3031.02	1.C.2.b	Leadership	IM	4.34	16	0.24	3.82	4.86	N	06/2006	Incumbent
11-3031.02	1.C.3.a	Cooperation	IM	4.33	16	0.24	3.81	4.85	N	06/2006	Incumbent
11-3031.02	1.C.3.b	Concern for Others	IM	3.73	16	0.24	3.22	4.24	N	06/2006	Incumbent
11-3031.02	1.C.3.c	Social Orientation	IM	4.30	16	0.25	3.76	4.83	N	06/2006	Incumbent
11-3031.02	1.C.4.a	Self Control	IM	4.34	16	0.24	3.82	4.86	N	06/2006	Incumbent
11-3031.02	1.C.4.b	Stress Tolerance	IM	4.05	16	0.40	3.19	4.91	N	06/2006	Incumbent
11-3031.02	1.C.4.c	Adaptability/Flexibility	IM	3.77	16	0.24	3.26	4.29	N	06/2006	Incumbent
11-3031.02	1.C.5.a	Dependability	IM	4.38	15	0.24	3.86	4.90	N	06/2006	Incumbent
11-3031.02	1.C.5.b	Attention to Detail	IM	4.38	15	0.24	3.86	4.90	N	06/2006	Incumbent
11-3031.02	1.C.5.c	Integrity	IM	4.71	16	0.24	4.19	5.00	N	06/2006	Incumbent
11-3031.02	1.C.6	Independence	IM	4.25	16	0.25	3.72	4.78	N	06/2006	Incumbent
11-3031.02	1.C.7.a	Innovation	IM	3.91	16	0.06	3.77	4.05	N	06/2006	Incumbent
11-3031.02	1.C.7.b	Analytical Thinking	IM	3.40	16	0.25	2.87	3.93	N	06/2006	Incumbent
11-3040.00	1.C.1.a	Achievement/Effort	IM	3.77	22	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3040.00	1.C.1.b	Persistence	IM	4.14	22	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3040.00	1.C.1.c	Initiative	IM	4.50	22	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3040.00	1.C.2.b	Leadership	IM	4.55	22	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3040.00	1.C.3.a	Cooperation	IM	4.36	22	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3040.00	1.C.3.b	Concern for Others	IM	4.36	22	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3040.00	1.C.3.c	Social Orientation	IM	4.05	22	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3040.00	1.C.4.a	Self Control	IM	4.41	22	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3040.00	1.C.4.b	Stress Tolerance	IM	4.59	22	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3040.00	1.C.4.c	Adaptability/Flexibility	IM	4.36	22	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3040.00	1.C.5.a	Dependability	IM	4.50	22	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3040.00	1.C.5.b	Attention to Detail	IM	4.05	22	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3040.00	1.C.5.c	Integrity	IM	4.86	22	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3040.00	1.C.6	Independence	IM	3.82	22	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3040.00	1.C.7.a	Innovation	IM	3.64	22	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3040.00	1.C.7.b	Analytical Thinking	IM	4.09	22	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3041.00	1.C.1.a	Achievement/Effort	IM	3.71	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3041.00	1.C.1.b	Persistence	IM	3.95	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3041.00	1.C.1.c	Initiative	IM	4.33	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3041.00	1.C.2.b	Leadership	IM	4.14	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3041.00	1.C.3.a	Cooperation	IM	4.38	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3041.00	1.C.3.b	Concern for Others	IM	3.71	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3041.00	1.C.3.c	Social Orientation	IM	3.14	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3041.00	1.C.4.a	Self Control	IM	4.29	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3041.00	1.C.4.b	Stress Tolerance	IM	4.14	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3041.00	1.C.4.c	Adaptability/Flexibility	IM	3.86	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3041.00	1.C.5.a	Dependability	IM	4.33	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3041.00	1.C.5.b	Attention to Detail	IM	4.76	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3041.00	1.C.5.c	Integrity	IM	4.86	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3041.00	1.C.6	Independence	IM	3.90	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3041.00	1.C.7.a	Innovation	IM	3.43	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3041.00	1.C.7.b	Analytical Thinking	IM	4.62	21	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3042.00	1.C.1.a	Achievement/Effort	IM	4.08	24	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3042.00	1.C.1.b	Persistence	IM	3.96	24	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3042.00	1.C.1.c	Initiative	IM	4.67	24	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3042.00	1.C.2.b	Leadership	IM	4.67	24	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3042.00	1.C.3.a	Cooperation	IM	4.50	24	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3042.00	1.C.3.b	Concern for Others	IM	4.04	24	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3042.00	1.C.3.c	Social Orientation	IM	3.92	24	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3042.00	1.C.4.a	Self Control	IM	4.33	24	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3042.00	1.C.4.b	Stress Tolerance	IM	4.17	24	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3042.00	1.C.4.c	Adaptability/Flexibility	IM	4.50	24	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3042.00	1.C.5.a	Dependability	IM	4.62	24	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3042.00	1.C.5.b	Attention to Detail	IM	4.50	24	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3042.00	1.C.5.c	Integrity	IM	4.50	24	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3042.00	1.C.6	Independence	IM	3.79	24	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3042.00	1.C.7.a	Innovation	IM	4.33	24	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3042.00	1.C.7.b	Analytical Thinking	IM	4.12	24	n/a	n/a	n/a	n/a	06/2008	Occupational Expert
11-3051.00	1.C.1.a	Achievement/Effort	IM	3.93	39	0.15	3.64	4.23	N	06/2008	Incumbent
11-3051.00	1.C.1.b	Persistence	IM	4.00	39	0.24	3.53	4.48	N	06/2008	Incumbent
11-3051.00	1.C.1.c	Initiative	IM	4.49	39	0.10	4.29	4.70	N	06/2008	Incumbent
11-3051.00	1.C.2.b	Leadership	IM	4.74	39	0.13	4.48	5.00	N	06/2008	Incumbent
11-3051.00	1.C.3.a	Cooperation	IM	4.18	39	0.28	3.62	4.75	N	06/2008	Incumbent
11-3051.00	1.C.3.b	Concern for Others	IM	4.08	39	0.36	3.36	4.80	N	06/2008	Incumbent
11-3051.00	1.C.3.c	Social Orientation	IM	3.89	39	0.23	3.42	4.36	N	06/2008	Incumbent
11-3051.00	1.C.4.a	Self Control	IM	4.41	39	0.24	3.92	4.90	N	06/2008	Incumbent
11-3051.00	1.C.4.b	Stress Tolerance	IM	4.21	39	0.28	3.65	4.77	N	06/2008	Incumbent
11-3051.00	1.C.4.c	Adaptability/Flexibility	IM	4.34	39	0.20	3.93	4.74	N	06/2008	Incumbent
11-3051.00	1.C.5.a	Dependability	IM	4.66	39	0.13	4.39	4.92	N	06/2008	Incumbent
11-3051.00	1.C.5.b	Attention to Detail	IM	4.34	39	0.22	3.89	4.78	N	06/2008	Incumbent
11-3051.00	1.C.5.c	Integrity	IM	4.36	39	0.21	3.93	4.79	N	06/2008	Incumbent
11-3051.00	1.C.6	Independence	IM	3.90	39	0.30	3.29	4.51	N	06/2008	Incumbent
11-3051.00	1.C.7.a	Innovation	IM	4.19	38	0.21	3.76	4.62	N	06/2008	Incumbent
11-3051.00	1.C.7.b	Analytical Thinking	IM	4.27	38	0.19	3.89	4.65	N	06/2008	Incumbent
11-3061.00	1.C.1.a	Achievement/Effort	IM	4.04	24	n/a	n/a	n/a	n/a	06/2009	Occupational Expert
11-3061.00	1.C.1.b	Persistence	IM	4.08	24	n/a	n/a	n/a	n/a	06/2009	Occupational Expert
11-3061.00	1.C.1.c	Initiative	IM	4.33	24	n/a	n/a	n/a	n/a	06/2009	Occupational Expert
11-3061.00	1.C.2.b	Leadership	IM	4.12	24	n/a	n/a	n/a	n/a	06/2009	Occupational Expert
11-3061.00	1.C.3.a	Cooperation	IM	4.08	24	n/a	n/a	n/a	n/a	06/2009	Occupational Expert
11-3061.00	1.C.3.b	Concern for Others	IM	3.12	24	n/a	n/a	n/a	n/a	06/2009	Occupational Expert
11-3061.00	1.C.3.c	Social Orientation	IM	3.54	24	n/a	n/a	n/a	n/a	06/2009	Occupational Expert
11-3061.00	1.C.4.a	Self Control	IM	4.38	24	n/a	n/a	n/a	n/a	06/2009	Occupational Expert
11-3061.00	1.C.4.b	Stress Tolerance	IM	4.25	24	n/a	n/a	n/a	n/a	06/2009	Occupational Expert
11-3061.00	1.C.4.c	Adaptability/Flexibility	IM	4.17	24	n/a	n/a	n/a	n/a	06/2009	Occupational Expert
11-3061.00	1.C.5.a	Dependability	IM	4.38	24	n/a	n/a	n/a	n/a	06/2009	Occupational Expert
11-3061.00	1.C.5.b	Attention to Detail	IM	4.08	24	n/a	n/a	n/a	n/a	06/2009	Occupational Expert
11-3061.00	1.C.5.c	Integrity	IM	4.92	24	n/a	n/a	n/a	n/a	06/2009	Occupational Expert
11-3061.00	1.C.6	Independence	IM	3.71	24	n/a	n/a	n/a	n/a	06/2009	Occupational Expert
11-3061.00	1.C.7.a	Innovation	IM	3.50	24	n/a	n/a	n/a	n/a	06/2009	Occupational Expert
11-3061.00	1.C.7.b	Analytical Thinking	IM	4.17	23	n/a	n/a	n/a	n/a	06/2009	Occupational Expert
11-3071.01	1.C.1.a	Achievement/Effort	IM	4.04	23	n/a	n/a	n/a	n/a	06/2009	Occupational Expert
11-3071.01	1.C.1.b	Persistence	IM	4.13	23	n/a	n/a	n/a	n/a	06/2009	Occupational Expert
