series_id                     	seasonal	sector_code	industry_code	measure_code	duration_code	base_year	type_code	area_code	series_title	footnote_codes	begin_year	begin_period	end_year	end_period
IPUAN11221_L010000000         	U	A	N11221_	L01	0	2007	I	000000	Annual index of hours worked (2007=100) for NAICS 11221, hog and pig farming, U.S. total		1987	A01	2019	A01
IPUAN11221_L011000000         	U	A	N11221_	L01	1	-	R	000000	Annual percent change of hours worked for NAICS 11221, hog and pig farming, U.S. total		1988	A01	2019	A01
IPUAN11221_L200000000         	U	A	N11221_	L20	0	-	H	000000	Annual hours worked (millions) for NAICS 11221, hog and pig farming, U.S. total		1987	A01	2019	A01
IPUAN11221_L201000000         	U	A	N11221_	L20	1	-	R	000000	Annual percent change of hours worked for NAICS 11221, hog and pig farming, U.S. total		1988	A01	2019	A01
IPUAN11221_W010000000         	U	A	N11221_	W01	0	2007	I	000000	Annual index of employment (2007=100) for NAICS 11221, hog and pig farming, U.S. total		1987	A01	2019	A01
IPUAN11221_W011000000         	U	A	N11221_	W01	1	-	R	000000	Annual percent change of employment for NAICS 11221, hog and pig farming, U.S. total		1988	A01	2019	A01
IPUAN11221_W200000000         	U	A	N11221_	W20	0	-	E	000000	Annual employment (thousands) for NAICS 11221, hog and pig farming, U.S. total		1987	A01	2019	A01
IPUAN11221_W201000000         	U	A	N11221_	W20	1	-	R	000000	Annual percent change of employment for NAICS 11221, hog and pig farming, U.S. total		1988	A01	2019	A01
IPUAN1122__L010000000         	U	A	N1122__	L01	0	2007	I	000000	Annual index of hours worked (2007=100) for NAICS 1122, hog and pig farming, U.S. total		1987	A01	2019	A01
IPUAN1122__L011000000         	U	A	N1122__	L01	1	-	R	000000	Annual percent change of hours worked for NAICS 1122, hog and pig farming, U.S. total		1988	A01	2019	A01
IPUAN1122__L200000000         	U	A	N1122__	L20	0	-	H	000000	Annual hours worked (millions) for NAICS 1122, hog and pig farming, U.S. total		1987	A01	2019	A01
IPUAN1122__L201000000         	U	A	N1122__	L20	1	-	R	000000	Annual percent change of hours worked for NAICS 1122, hog and pig farming, U.S. total		1988	A01	2019	A01
IPUAN1122__W010000000         	U	A	N1122__	W01	0	2007	I	000000	Annual index of employment (2007=100) for NAICS 1122, hog and pig farming, U.S. total		1987	A01	2019	A01
IPUAN1122__W011000000         	U	A	N1122__	W01	1	-	R	000000	Annual percent change of employment for NAICS 1122, hog and pig farming, U.S. total		1988	A01	2019	A01
IPUAN1122__W200000000         	U	A	N1122__	W20	0	-	E	000000	Annual employment (thousands) for NAICS 1122, hog and pig farming, U.S. total		1987	A01	2019	A01
IPUAN1122__W201000000         	U	A	N1122__	W20	1	-	R	000000	Annual percent change of employment for NAICS 1122, hog and pig farming, U.S. total		1988	A01	2019	A01
IPUAN1123__L010000000         	U	A	N1123__	L01	0	2007	I	000000	Annual index of hours worked (2007=100) for NAICS 1123, poultry and egg production, U.S. total		1987	A01	2019	A01
IPUAN1123__L011000000         	U	A	N1123__	L01	1	-	R	000000	Annual percent change of hours worked for NAICS 1123, poultry and egg production, U.S. total		1988	A01	2019	A01
IPUAN1123__L200000000         	U	A	N1123__	L20	0	-	H	000000	Annual hours worked (millions) for NAICS 1123, poultry and egg production, U.S. total		1987	A01	2019	A01
IPUAN1123__L201000000         	U	A	N1123__	L20	1	-	R	000000	Annual percent change of hours worked for NAICS 1123, poultry and egg production, U.S. total		1988	A01	2019	A01
IPUAN1123__W010000000         	U	A	N1123__	W01	0	2007	I	000000	Annual index of employment (2007=100) for NAICS 1123, poultry and egg production, U.S. total		1987	A01	2019	A01
IPUAN1123__W011000000         	U	A	N1123__	W01	1	-	R	000000	Annual percent change of employment for NAICS 1123, poultry and egg production, U.S. total		1988	A01	2019	A01
IPUAN1123__W200000000         	U	A	N1123__	W20	0	-	E	000000	Annual employment (thousands) for NAICS 1123, poultry and egg production, U.S. total		1987	A01	2019	A01
IPUAN1123__W201000000         	U	A	N1123__	W20	1	-	R	000000	Annual percent change of employment for NAICS 1123, poultry and egg production, U.S. total		1988	A01	2019	A01
IPUAN1124__L010000000         	U	A	N1124__	L01	0	2007	I	000000	Annual index of hours worked (2007=100) for NAICS 1124, sheep and goat farming, U.S. total		1987	A01	2019	A01
IPUAN1124__L011000000         	U	A	N1124__	L01	1	-	R	000000	Annual percent change of hours worked for NAICS 1124, sheep and goat farming, U.S. total		1988	A01	2019	A01
IPUAN1124__L200000000         	U	A	N1124__	L20	0	-	H	000000	Annual hours worked (millions) for NAICS 1124, sheep and goat farming, U.S. total		1987	A01	2019	A01
IPUAN1124__L201000000         	U	A	N1124__	L20	1	-	R	000000	Annual percent change of hours worked for NAICS 1124, sheep and goat farming, U.S. total		1988	A01	2019	A01
IPUAN1124__W010000000         	U	A	N1124__	W01	0	2007	I	000000	Annual index of employment (2007=100) for NAICS 1124, sheep and goat farming, U.S. total		1987	A01	2019	A01
IPUAN1124__W011000000         	U	A	N1124__	W01	1	-	R	000000	Annual percent change of employment for NAICS 1124, sheep and goat farming, U.S. total		1988	A01	2019	A01
IPUAN1124__W200000000         	U	A	N1124__	W20	0	-	E	000000	Annual employment (thousands) for NAICS 1124, sheep and goat farming, U.S. total		1987	A01	2019	A01
IPUAN1124__W201000000         	U	A	N1124__	W20	1	-	R	000000	Annual percent change of employment for NAICS 1124, sheep and goat farming, U.S. total		1988	A01	2019	A01
IPUAN11251_L010000000         	U	A	N11251_	L01	0	2007	I	000000	Annual index of hours worked (2007=100) for NAICS 11251, aquaculture, U.S. total		1987	A01	2019	A01
IPUAN11251_L011000000         	U	A	N11251_	L01	1	-	R	000000	Annual percent change of hours worked for NAICS 11251, aquaculture, U.S. total		1988	A01	2019	A01
IPUAN11251_L200000000         	U	A	N11251_	L20	0	-	H	000000	Annual hours worked (millions) for NAICS 11251, aquaculture, U.S. total		1987	A01	2019	A01
IPUAN11251_L201000000         	U	A	N11251_	L20	1	-	R	000000	Annual percent change of hours worked for NAICS 11251, aquaculture, U.S. total		1988	A01	2019	A01
IPUAN11251_W010000000         	U	A	N11251_	W01	0	2007	I	000000	Annual index of employment (2007=100) for NAICS 11251, aquaculture, U.S. total		1987	A01	2019	A01
IPUAN11251_W011000000         	U	A	N11251_	W01	1	-	R	000000	Annual percent change of employment for NAICS 11251, aquaculture, U.S. total		1988	A01	2019	A01
IPUAN11251_W200000000         	U	A	N11251_	W20	0	-	E	000000	Annual employment (thousands) for NAICS 11251, aquaculture, U.S. total		1987	A01	2019	A01
IPUAN11251_W201000000         	U	A	N11251_	W20	1	-	R	000000	Annual percent change of employment for NAICS 11251, aquaculture, U.S. total		1988	A01	2019	A01
IPUAN1125__L010000000         	U	A	N1125__	L01	0	2007	I	000000	Annual index of hours worked (2007=100) for NAICS 1125, aquaculture, U.S. total		1987	A01	2019	A01
IPUAN1125__L011000000         	U	A	N1125__	L01	1	-	R	000000	Annual percent change of hours worked for NAICS 1125, aquaculture, U.S. total		1988	A01	2019	A01
IPUAN1125__L200000000         	U	A	N1125__	L20	0	-	H	000000	Annual hours worked (millions) for NAICS 1125, aquaculture, U.S. total		1987	A01	2019	A01
IPUAN1125__L201000000         	U	A	N1125__	L20	1	-	R	000000	Annual percent change of hours worked for NAICS 1125, aquaculture, U.S. total		1988	A01	2019	A01
IPUAN1125__W010000000         	U	A	N1125__	W01	0	2007	I	000000	Annual index of employment (2007=100) for NAICS 1125, aquaculture, U.S. total		1987	A01	2019	A01
IPUAN1125__W011000000         	U	A	N1125__	W01	1	-	R	000000	Annual percent change of employment for NAICS 1125, aquaculture, U.S. total		1988	A01	2019	A01
IPUAN1125__W200000000         	U	A	N1125__	W20	0	-	E	000000	Annual employment (thousands) for NAICS 1125, aquaculture, U.S. total		1987	A01	2019	A01
IPUAN1125__W201000000         	U	A	N1125__	W20	1	-	R	000000	Annual percent change of employment for NAICS 1125, aquaculture, U.S. total		1988	A01	2019	A01
IPUAN1129__L010000000         	U	A	N1129__	L01	0	2007	I	000000	Annual index of hours worked (2007=100) for NAICS 1129, other animal production, U.S. total		1987	A01	2019	A01
IPUAN1129__L011000000         	U	A	N1129__	L01	1	-	R	000000	Annual percent change of hours worked for NAICS 1129, other animal production, U.S. total		1988	A01	2019	A01
IPUAN1129__L200000000         	U	A	N1129__	L20	0	-	H	000000	Annual hours worked (millions) for NAICS 1129, other animal production, U.S. total		1987	A01	2019	A01
IPUAN1129__L201000000         	U	A	N1129__	L20	1	-	R	000000	Annual percent change of hours worked for NAICS 1129, other animal production, U.S. total		1988	A01	2019	A01
IPUAN1129__W010000000         	U	A	N1129__	W01	0	2007	I	000000	Annual index of employment (2007=100) for NAICS 1129, other animal production, U.S. total		1987	A01	2019	A01
IPUAN1129__W011000000         	U	A	N1129__	W01	1	-	R	000000	Annual percent change of employment for NAICS 1129, other animal production, U.S. total		1988	A01	2019	A01
IPUAN1129__W200000000         	U	A	N1129__	W20	0	-	E	000000	Annual employment (thousands) for NAICS 1129, other animal production, U.S. total		1987	A01	2019	A01
IPUAN1129__W201000000         	U	A	N1129__	W20	1	-	R	000000	Annual percent change of employment for NAICS 1129, other animal production, U.S. total		1988	A01	2019	A01
IPUAN112___L010000000         	U	A	N112___	L01	0	2007	I	000000	Annual index of hours worked (2007=100) for NAICS 112, animal production, U.S. total		1987	A01	2019	A01
IPUAN112___L011000000         	U	A	N112___	L01	1	-	R	000000	Annual percent change of hours worked for NAICS 112, animal production, U.S. total		1988	A01	2019	A01
IPUAN112___L200000000         	U	A	N112___	L20	0	-	H	000000	Annual hours worked (millions) for NAICS 112, animal production, U.S. total		1987	A01	2019	A01
IPUAN112___L201000000         	U	A	N112___	L20	1	-	R	000000	Annual percent change of hours worked for NAICS 112, animal production, U.S. total		1988	A01	2019	A01
IPUAN112___W010000000         	U	A	N112___	W01	0	2007	I	000000	Annual index of employment (2007=100) for NAICS 112, animal production, U.S. total		1987	A01	2019	A01
IPUAN112___W011000000         	U	A	N112___	W01	1	-	R	000000	Annual percent change of employment for NAICS 112, animal production, U.S. total		1988	A01	2019	A01
IPUAN112___W200000000         	U	A	N112___	W20	0	-	E	000000	Annual employment (thousands) for NAICS 112, animal production, U.S. total		1987	A01	2019	A01
IPUAN112___W201000000         	U	A	N112___	W20	1	-	R	000000	Annual percent change of employment for NAICS 112, animal production, U.S. total		1988	A01	2019	A01
IPUAN113110L010000000         	U	A	N113110	L01	0	2007	I	000000	Annual index of hours worked (2007=100) for NAICS 113110, timber tract operations, U.S. total		1987	A01	2019	A01
IPUAN113110L011000000         	U	A	N113110	L01	1	-	R	000000	Annual percent change of hours worked for NAICS 113110, timber tract operations, U.S. total		1988	A01	2019	A01
IPUAN113110L200000000         	U	A	N113110	L20	0	-	H	000000	Annual hours worked (millions) for NAICS 113110, timber tract operations, U.S. total		1987	A01	2019	A01
IPUAN113110L201000000         	U	A	N113110	L20	1	-	R	000000	Annual percent change of hours worked for NAICS 113110, timber tract operations, U.S. total		1988	A01	2019	A01
IPUAN113110W010000000         	U	A	N113110	W01	0	2007	I	000000	Annual index of employment (2007=100) for NAICS 113110, timber tract operations, U.S. total		1987	A01	2019	A01
IPUAN113110W011000000         	U	A	N113110	W01	1	-	R	000000	Annual percent change of employment for NAICS 113110, timber tract operations, U.S. total		1988	A01	2019	A01
IPUAN113110W200000000         	U	A	N113110	W20	0	-	E	000000	Annual employment (thousands) for NAICS 113110, timber tract operations, U.S. total		1987	A01	2019	A01
IPUAN113110W201000000         	U	A	N113110	W20	1	-	R	000000	Annual percent change of employment for NAICS 113110, timber tract operations, U.S. total		1988	A01	2019	A01
IPUAN11311_L010000000         	U	A	N11311_	L01	0	2007	I	000000	Annual index of hours worked (2007=100) for NAICS 11311, timber tract operations, U.S. total		1987	A01	2019	A01
IPUAN11311_L011000000         	U	A	N11311_	L01	1	-	R	000000	Annual percent change of hours worked for NAICS 11311, timber tract operations, U.S. total		1988	A01	2019	A01
IPUAN11311_L200000000         	U	A	N11311_	L20	0	-	H	000000	Annual hours worked (millions) for NAICS 11311, timber tract operations, U.S. total		1987	A01	2019	A01
IPUAN11311_L201000000         	U	A	N11311_	L20	1	-	R	000000	Annual percent change of hours worked for NAICS 11311, timber tract operations, U.S. total		1988	A01	2019	A01
IPUAN11311_W010000000         	U	A	N11311_	W01	0	2007	I	000000	Annual index of employment (2007=100) for NAICS 11311, timber tract operations, U.S. total		1987	A01	2019	A01
IPUAN11311_W011000000         	U	A	N11311_	W01	1	-	R	000000	Annual percent change of employment for NAICS 11311, timber tract operations, U.S. total		1988	A01	2019	A01
IPUAN11311_W200000000         	U	A	N11311_	W20	0	-	E	000000	Annual employment (thousands) for NAICS 11311, timber tract operations, U.S. total		1987	A01	2019	A01
IPUAN11311_W201000000         	U	A	N11311_	W20	1	-	R	000000	Annual percent change of employment for NAICS 11311, timber tract operations, U.S. total		1988	A01	2019	A01
IPUAN1131__L010000000         	U	A	N1131__	L01	0	2007	I	000000	Annual index of hours worked (2007=100) for NAICS 1131, timber tract operations, U.S. total		1987	A01	2019	A01
IPUAN1131__L011000000         	U	A	N1131__	L01	1	-	R	000000	Annual percent change of hours worked for NAICS 1131, timber tract operations, U.S. total		1988	A01	2019	A01
IPUAN1131__L200000000         	U	A	N1131__	L20	0	-	H	000000	Annual hours worked (millions) for NAICS 1131, timber tract operations, U.S. total		1987	A01	2019	A01
IPUAN1131__L201000000         	U	A	N1131__	L20	1	-	R	000000	Annual percent change of hours worked for NAICS 1131, timber tract operations, U.S. total		1988	A01	2019	A01
IPUAN1131__W010000000         	U	A	N1131__	W01	0	2007	I	000000	Annual index of employment (2007=100) for NAICS 1131, timber tract operations, U.S. total		1987	A01	2019	A01
IPUAN1131__W011000000         	U	A	N1131__	W01	1	-	R	000000	Annual percent change of employment for NAICS 1131, timber tract operations, U.S. total		1988	A01	2019	A01
IPUAN1131__W200000000         	U	A	N1131__	W20	0	-	E	000000	Annual employment (thousands) for NAICS 1131, timber tract operations, U.S. total		1987	A01	2019	A01
IPUAN1131__W201000000         	U	A	N1131__	W20	1	-	R	000000	Annual percent change of employment for NAICS 1131, timber tract operations, U.S. total		1988	A01	2019	A01
IPUAN113210L010000000         	U	A	N113210	L01	0	2007	I	000000	Annual index of hours worked (2007=100) for NAICS 113210, forest nurseries and gathering of forest products, U.S. total		1987	A01	2019	A01
IPUAN113210L011000000         	U	A	N113210	L01	1	-	R	000000	Annual percent change of hours worked for NAICS 113210, forest nurseries and gathering of forest products, U.S. total		1988	A01	2019	A01
IPUAN113210L200000000         	U	A	N113210	L20	0	-	H	000000	Annual hours worked (millions) for NAICS 113210, forest nurseries and gathering of forest products, U.S. total		1987	A01	2019	A01
IPUAN113210L201000000         	U	A	N113210	L20	1	-	R	000000	Annual percent change of hours worked for NAICS 113210, forest nurseries and gathering of forest products, U.S. total		1988	A01	2019	A01
IPUAN113210W010000000         	U	A	N113210	W01	0	2007	I	000000	Annual index of employment (2007=100) for NAICS 113210, forest nurseries and gathering of forest products, U.S. total		1987	A01	2019	A01
IPUAN113210W011000000         	U	A	N113210	W01	1	-	R	000000	Annual percent change of employment for NAICS 113210, forest nurseries and gathering of forest products, U.S. total		1988	A01	2019	A01
IPUAN113210W200000000         	U	A	N113210	W20	0	-	E	000000	Annual employment (thousands) for NAICS 113210, forest nurseries and gathering of forest products, U.S. total		1987	A01	2019	A01
IPUAN113210W201000000         	U	A	N113210	W20	1	-	R	000000	Annual percent change of employment for NAICS 113210, forest nurseries and gathering of forest products, U.S. total		1988	A01	2019	A01
IPUAN11321_L010000000         	U	A	N11321_	L01	0	2007	I	000000	Annual index of hours worked (2007=100) for NAICS 11321, forest nurseries and gathering of forest products, U.S. total		1987	A01	2019	A01
IPUAN11321_L011000000         	U	A	N11321_	L01	1	-	R	000000	Annual percent change of hours worked for NAICS 11321, forest nurseries and gathering of forest products, U.S. total		1988	A01	2019	A01
