O*NET-SOC Code	Element ID	Element Name	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-3011.00	2.D.1	Required Level of Education	RL	5	10.06	30	8.12	1.76	41.20	N	03/2003	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	6	16.57	30	9.19	4.85	43.62	N	03/2003	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	7	9.10	30	8.10	1.33	42.60	N	03/2003	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	8	0.00	30	0.00	n/a	n/a	N	03/2003	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	9	0.00	30	0.00	n/a	n/a	N	03/2003	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	10	0.00	30	0.00	n/a	n/a	N	03/2003	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	11	0.00	30	0.00	n/a	n/a	N	03/2003	Incumbent
11-3011.00	2.D.1	Required Level of Education	RL	12	0.00	30	0.00	n/a	n/a	N	03/2003	Incumbent
11-3011.00	3.A.1	Related Work Experience	RW	1	0.48	30	0.51	0.06	4.08	N	03/2003	Incumbent
11-3011.00	3.A.1	Related Work Experience	RW	2	0.00	30	0.00	n/a	n/a	N	03/2003	Incumbent
11-3011.00	3.A.1	Related Work Experience	RW	3	0.00	30	0.00	n/a	n/a	N	03/2003	Incumbent
11-3011.00	3.A.1	Related Work Experience	RW	4	31.97	30	23.00	5.13	80.34	Y	03/2003	Incumbent
11-3011.00	3.A.1	Related Work Experience	RW	5	13.83	30	10.31	2.66	48.50	N	03/2003	Incumbent
11-3011.00	3.A.1	Related Work Experience	RW	6	8.59	30	5.31	2.30	27.25	N	03/2003	Incumbent
11-3011.00	3.A.1	Related Work Experience	RW	7	6.36	30	3.90	1.75	20.56	N	03/2003	Incumbent
11-3011.00	3.A.1	Related Work Experience	RW	8	35.53	30	17.61	10.26	72.65	N	03/2003	Incumbent
11-3011.00	3.A.1	Related Work Experience	RW	9	0.46	30	0.49	0.05	4.01	N	03/2003	Incumbent
11-3011.00	3.A.1	Related Work Experience	RW	10	0.84	30	0.90	0.09	7.14	N	03/2003	Incumbent
11-3011.00	3.A.1	Related Work Experience	RW	11	1.94	30	2.02	0.23	14.76	N	03/2003	Incumbent
11-3011.00	3.A.2	On-Site or In-Plant Training	PT	1	22.86	30	10.76	7.84	50.78	N	03/2003	Incumbent
11-3011.00	3.A.2	On-Site or In-Plant Training	PT	2	20.34	30	11.52	5.63	52.21	N	03/2003	Incumbent
11-3011.00	3.A.2	On-Site or In-Plant Training	PT	3	41.49	30	21.22	10.61	80.91	Y	03/2003	Incumbent
11-3011.00	3.A.2	On-Site or In-Plant Training	PT	4	2.08	30	2.04	0.27	14.13	N	03/2003	Incumbent
11-3011.00	3.A.2	On-Site or In-Plant Training	PT	5	10.46	30	8.12	1.95	40.77	N	03/2003	Incumbent
11-3011.00	3.A.2	On-Site or In-Plant Training	PT	6	0.48	30	0.51	0.06	4.08	N	03/2003	Incumbent
11-3011.00	3.A.2	On-Site or In-Plant Training	PT	7	2.28	30	1.86	0.42	11.43	N	03/2003	Incumbent
11-3011.00	3.A.2	On-Site or In-Plant Training	PT	8	0.00	30	0.00	n/a	n/a	N	03/2003	Incumbent
