ONET-SOC Code	Item	Response	N	Percent	Date
11-3051.00	O*NET-SOC Case Completeness Rate	n/a	n/a	89.4	3/2003
11-3051.00	Total Completes for O*NET-SOC	n/a	76	n/a	3/2003
11-3051.00	Data Collection Mode	Paper	66	86.8	3/2003
11-3051.00	Data Collection Mode	Web	10	13.2	3/2003
11-3051.00	How Long at Current Job	10 Years or More	33	43.4	3/2003
11-3051.00	How Long at Current Job	6-9 Years	13	17.1	3/2003
11-3051.00	How Long at Current Job	1-5 Years	25	32.9	3/2003
11-3051.00	How Long at Current Job	<1 Year	5	6.6	3/2003
11-3051.00	How Long at Current Job	Missing	0	0	3/2003
11-3051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
11-3051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
11-3051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
11-3051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	74	97.4	3/2003
11-3051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
11-3051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
11-3051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
11-3051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
11-3051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	2	2.6	3/2003
11-3051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	0	0	3/2003
11-3051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
11-9111.00	O*NET-SOC Establishment Response Rate	n/a	n/a	64.5	3/2003
11-9111.00	O*NET-SOC Employee Response Rate	n/a	n/a	57.5	3/2003
11-9111.00	O*NET-SOC Case Completeness Rate	n/a	n/a	94.2	3/2003
11-9111.00	Total Completes for O*NET-SOC	n/a	65	n/a	3/2003
11-9111.00	Data Collection Mode	Paper	51	78.5	3/2003
11-9111.00	Data Collection Mode	Web	14	21.5	3/2003
11-9111.00	How Long at Current Job	10 Years or More	24	36.9	3/2003
11-9111.00	How Long at Current Job	6-9 Years	7	10.8	3/2003
11-9111.00	How Long at Current Job	1-5 Years	26	40	3/2003
11-9111.00	How Long at Current Job	<1 Year	7	10.8	3/2003
11-9111.00	How Long at Current Job	Missing	1	1.5	3/2003
11-9111.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
11-9111.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
11-9111.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
11-9111.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
11-9111.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
11-9111.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
11-9111.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
11-9111.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
11-9111.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	61	93.8	3/2003
11-9111.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	4	6.2	3/2003
11-9111.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
13-1022.00	O*NET-SOC Establishment Response Rate	n/a	n/a	63	3/2003
13-1022.00	O*NET-SOC Employee Response Rate	n/a	n/a	55	3/2003
13-1022.00	O*NET-SOC Case Completeness Rate	n/a	n/a	79.5	3/2003
13-1022.00	Total Completes for O*NET-SOC	n/a	70	n/a	3/2003
13-1022.00	Data Collection Mode	Paper	60	85.7	3/2003
13-1022.00	Data Collection Mode	Web	10	14.3	3/2003
13-1022.00	How Long at Current Job	10 Years or More	30	42.9	3/2003
13-1022.00	How Long at Current Job	6-9 Years	11	15.7	3/2003
13-1022.00	How Long at Current Job	1-5 Years	23	32.9	3/2003
13-1022.00	How Long at Current Job	<1 Year	6	8.6	3/2003
13-1022.00	How Long at Current Job	Missing	0	0	3/2003
13-1022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
13-1022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
13-1022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
13-1022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	1	1.4	3/2003
13-1022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
13-1022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	27	38.6	3/2003
13-1022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	42	60	3/2003
13-1022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
13-1022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	0	0	3/2003
13-1022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	0	0	3/2003
13-1022.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
13-1051.00	O*NET-SOC Establishment Response Rate	n/a	n/a	63.4	3/2003
13-1051.00	O*NET-SOC Employee Response Rate	n/a	n/a	63.6	3/2003
13-1051.00	O*NET-SOC Case Completeness Rate	n/a	n/a	88.3	3/2003
13-1051.00	Total Completes for O*NET-SOC	n/a	91	n/a	3/2003
13-1051.00	Data Collection Mode	Paper	81	89	3/2003
13-1051.00	Data Collection Mode	Web	10	11	3/2003
13-1051.00	How Long at Current Job	10 Years or More	49	53.8	3/2003
13-1051.00	How Long at Current Job	6-9 Years	19	20.9	3/2003
13-1051.00	How Long at Current Job	1-5 Years	19	20.9	3/2003
13-1051.00	How Long at Current Job	<1 Year	4	4.4	3/2003
13-1051.00	How Long at Current Job	Missing	0	0	3/2003
13-1051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	8	8.8	3/2003
13-1051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	1	1.1	3/2003
13-1051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	55	60.4	3/2003
13-1051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	19	20.9	3/2003
13-1051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
13-1051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	2	2.2	3/2003
13-1051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	2	2.2	3/2003
13-1051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
13-1051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	4	4.4	3/2003
13-1051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	0	0	3/2003
13-1051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
13-1073.00	O*NET-SOC Establishment Response Rate	n/a	n/a	67.1	3/2003
13-1073.00	O*NET-SOC Employee Response Rate	n/a	n/a	78	3/2003
13-1073.00	O*NET-SOC Case Completeness Rate	n/a	n/a	76	3/2003
13-1073.00	Total Completes for O*NET-SOC	n/a	73	n/a	3/2003
13-1073.00	Data Collection Mode	Paper	55	75.3	3/2003
13-1073.00	Data Collection Mode	Web	18	24.7	3/2003
13-1073.00	How Long at Current Job	10 Years or More	15	20.5	3/2003
13-1073.00	How Long at Current Job	6-9 Years	11	15.1	3/2003
13-1073.00	How Long at Current Job	1-5 Years	34	46.6	3/2003
13-1073.00	How Long at Current Job	<1 Year	13	17.8	3/2003
13-1073.00	How Long at Current Job	Missing	0	0	3/2003
13-1073.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
13-1073.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
13-1073.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
13-1073.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	6	8.2	3/2003
13-1073.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
13-1073.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
13-1073.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	7	9.6	3/2003
13-1073.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	11	15.1	3/2003
13-1073.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	47	64.4	3/2003
13-1073.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	2	2.7	3/2003
13-1073.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
13-2011.01	O*NET-SOC Establishment Response Rate	n/a	n/a	66.7	3/2003
13-2011.01	O*NET-SOC Employee Response Rate	n/a	n/a	68.8	3/2003
13-2011.01	O*NET-SOC Case Completeness Rate	n/a	n/a	82.3	3/2003
13-2011.01	Total Completes for O*NET-SOC	n/a	107	n/a	3/2003
13-2011.01	Data Collection Mode	Paper	78	72.9	3/2003
13-2011.01	Data Collection Mode	Web	29	27.1	3/2003
13-2011.01	How Long at Current Job	10 Years or More	39	36.4	3/2003
13-2011.01	How Long at Current Job	6-9 Years	15	14	3/2003
13-2011.01	How Long at Current Job	1-5 Years	42	39.3	3/2003
13-2011.01	How Long at Current Job	<1 Year	11	10.3	3/2003
13-2011.01	How Long at Current Job	Missing	0	0	3/2003
13-2011.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
13-2011.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
13-2011.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
13-2011.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	14	13.1	3/2003
13-2011.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	4	3.7	3/2003
13-2011.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	13	12.1	3/2003
13-2011.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	3	2.8	3/2003
13-2011.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	16	15	3/2003
13-2011.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	56	52.3	3/2003
13-2011.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	1	.9	3/2003
13-2011.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
17-1011.00	O*NET-SOC Establishment Response Rate	n/a	n/a	64.9	3/2003
17-1011.00	O*NET-SOC Employee Response Rate	n/a	n/a	68.5	3/2003
17-1011.00	O*NET-SOC Case Completeness Rate	n/a	n/a	92.4	3/2003
17-1011.00	Total Completes for O*NET-SOC	n/a	85	n/a	3/2003
17-1011.00	Data Collection Mode	Paper	73	85.9	3/2003
17-1011.00	Data Collection Mode	Web	12	14.1	3/2003
17-1011.00	How Long at Current Job	10 Years or More	56	65.9	3/2003
17-1011.00	How Long at Current Job	6-9 Years	6	7.1	3/2003
17-1011.00	How Long at Current Job	1-5 Years	17	20	3/2003
17-1011.00	How Long at Current Job	<1 Year	6	7.1	3/2003
17-1011.00	How Long at Current Job	Missing	0	0	3/2003
17-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
17-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
17-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
17-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
17-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
17-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
17-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
17-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
17-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	85	100	3/2003
17-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	0	0	3/2003
17-1011.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
17-1012.00	O*NET-SOC Establishment Response Rate	n/a	n/a	70.6	3/2003
17-1012.00	O*NET-SOC Employee Response Rate	n/a	n/a	78.3	3/2003
17-1012.00	O*NET-SOC Case Completeness Rate	n/a	n/a	91.7	3/2003
17-1012.00	Total Completes for O*NET-SOC	n/a	77	n/a	3/2003
17-1012.00	Data Collection Mode	Paper	74	96.1	3/2003
17-1012.00	Data Collection Mode	Web	3	3.9	3/2003
17-1012.00	How Long at Current Job	10 Years or More	26	33.8	3/2003
17-1012.00	How Long at Current Job	6-9 Years	16	20.8	3/2003
17-1012.00	How Long at Current Job	1-5 Years	28	36.4	3/2003
17-1012.00	How Long at Current Job	<1 Year	6	7.8	3/2003
17-1012.00	How Long at Current Job	Missing	1	1.3	3/2003
17-1012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	52	67.5	3/2003
17-1012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
17-1012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
17-1012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
17-1012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
17-1012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
17-1012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
17-1012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
17-1012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	19	24.7	3/2003
17-1012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	6	7.8	3/2003
17-1012.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
17-2051.00	O*NET-SOC Establishment Response Rate	n/a	n/a	66.3	3/2003
17-2051.00	O*NET-SOC Employee Response Rate	n/a	n/a	74.5	3/2003
17-2051.00	O*NET-SOC Case Completeness Rate	n/a	n/a	93.5	3/2003
17-2051.00	Total Completes for O*NET-SOC	n/a	72	n/a	3/2003
17-2051.00	Data Collection Mode	Paper	62	86.1	3/2003
17-2051.00	Data Collection Mode	Web	10	13.9	3/2003
17-2051.00	How Long at Current Job	10 Years or More	31	43.1	3/2003
17-2051.00	How Long at Current Job	6-9 Years	18	25	3/2003
17-2051.00	How Long at Current Job	1-5 Years	18	25	3/2003
17-2051.00	How Long at Current Job	<1 Year	5	6.9	3/2003
17-2051.00	How Long at Current Job	Missing	0	0	3/2003
17-2051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
17-2051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
17-2051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	8	11.1	3/2003
17-2051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	0	0	3/2003
17-2051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	1	1.4	3/2003
17-2051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
17-2051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
17-2051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
17-2051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	47	65.3	3/2003
17-2051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	16	22.2	3/2003
17-2051.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
17-3011.01	O*NET-SOC Establishment Response Rate	n/a	n/a	66.6	3/2003
17-3011.01	O*NET-SOC Employee Response Rate	n/a	n/a	63.1	3/2003
17-3011.01	O*NET-SOC Case Completeness Rate	n/a	n/a	84.8	3/2003
17-3011.01	Total Completes for O*NET-SOC	n/a	84	n/a	3/2003
17-3011.01	Data Collection Mode	Paper	68	81	3/2003
17-3011.01	Data Collection Mode	Web	16	19	3/2003
17-3011.01	How Long at Current Job	10 Years or More	16	19	3/2003
17-3011.01	How Long at Current Job	6-9 Years	10	11.9	3/2003
17-3011.01	How Long at Current Job	1-5 Years	47	56	3/2003
17-3011.01	How Long at Current Job	<1 Year	10	11.9	3/2003
17-3011.01	How Long at Current Job	Missing	1	1.2	3/2003
17-3011.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	4	4.8	3/2003
17-3011.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
17-3011.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	15	17.9	3/2003
17-3011.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	2	2.4	3/2003
17-3011.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
17-3011.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
17-3011.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
17-3011.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
17-3011.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	62	73.8	3/2003
17-3011.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	1	1.2	3/2003
17-3011.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
19-1020.01	O*NET-SOC Establishment Response Rate	n/a	n/a	75	3/2003
19-1020.01	O*NET-SOC Employee Response Rate	n/a	n/a	76	3/2003
19-1020.01	O*NET-SOC Case Completeness Rate	n/a	n/a	81.6	3/2003
19-1020.01	Total Completes for O*NET-SOC	n/a	80	n/a	3/2003
19-1020.01	Data Collection Mode	Paper	66	82.5	3/2003
19-1020.01	Data Collection Mode	Web	14	17.5	3/2003
19-1020.01	How Long at Current Job	10 Years or More	37	46.3	3/2003
19-1020.01	How Long at Current Job	6-9 Years	7	8.8	3/2003
19-1020.01	How Long at Current Job	1-5 Years	28	35	3/2003
19-1020.01	How Long at Current Job	<1 Year	8	10	3/2003
19-1020.01	How Long at Current Job	Missing	0	0	3/2003
19-1020.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
19-1020.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Mining (10-14)	0	0	3/2003
19-1020.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Construction (15-17)	0	0	3/2003
19-1020.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Manufacturing (20-39)	9	11.3	3/2003
19-1020.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Transportation, Communication, Electric, Gas, and Sanitary Services (40-49)	0	0	3/2003
19-1020.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Wholesale Trade (50-51)	0	0	3/2003
19-1020.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Retail Trade (52-59)	0	0	3/2003
19-1020.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Financial, Insurance and Real Estate (60-67)	0	0	3/2003
19-1020.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Services (70-89)	23	28.8	3/2003
19-1020.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Public Administration (90-97)	48	60	3/2003
19-1020.01	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Non-Classifiable (99)	0	0	3/2003
19-1032.00	O*NET-SOC Establishment Response Rate	n/a	n/a	81.7	3/2003
19-1032.00	O*NET-SOC Employee Response Rate	n/a	n/a	79.8	3/2003
19-1032.00	O*NET-SOC Case Completeness Rate	n/a	n/a	93	3/2003
19-1032.00	Total Completes for O*NET-SOC	n/a	66	n/a	3/2003
19-1032.00	Data Collection Mode	Paper	53	80.3	3/2003
19-1032.00	Data Collection Mode	Web	13	19.7	3/2003
19-1032.00	How Long at Current Job	10 Years or More	35	53	3/2003
19-1032.00	How Long at Current Job	6-9 Years	9	13.6	3/2003
19-1032.00	How Long at Current Job	1-5 Years	16	24.2	3/2003
19-1032.00	How Long at Current Job	<1 Year	6	9.1	3/2003
19-1032.00	How Long at Current Job	Missing	0	0	3/2003
19-1032.00	Industry Division (Major Group Codes (SIC) within Division in parentheses)	Agriculture, Forestry, Fishing (01-09)	0	0	3/2003
