O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	Date	Domain Source
11-3071.01	1.B.1.f	Conventional	OI	6	3/2002	Legacy Analyst
11-3071.01	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-3071.01	1.B.1.h	Second Interest High-Point	IH	6	3/2002	Legacy Analyst
11-3071.01	1.B.1.i	Third Interest High-Point	IH	0	3/2002	Legacy Analyst
11-3071.02	1.B.1.a	Realistic	OI	4	3/2002	Legacy Analyst
11-3071.02	1.B.1.b	Investigative	OI	2	3/2002	Legacy Analyst
11-3071.02	1.B.1.c	Artistic	OI	1.66	3/2002	Legacy Analyst
11-3071.02	1.B.1.d	Social	OI	3	3/2002	Legacy Analyst
11-3071.02	1.B.1.e	Enterprising	OI	6.33	3/2002	Legacy Analyst
11-3071.02	1.B.1.f	Conventional	OI	5.33	3/2002	Legacy Analyst
11-3071.02	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-3071.02	1.B.1.h	Second Interest High-Point	IH	6	3/2002	Legacy Analyst
11-3071.02	1.B.1.i	Third Interest High-Point	IH	1	3/2002	Legacy Analyst
11-9011.01	1.B.1.a	Realistic	OI	5.66	3/2002	Legacy Analyst
11-9011.01	1.B.1.b	Investigative	OI	3	3/2002	Legacy Analyst
11-9011.01	1.B.1.c	Artistic	OI	2.66	3/2002	Legacy Analyst
11-9011.01	1.B.1.d	Social	OI	3.33	3/2002	Legacy Analyst
11-9011.01	1.B.1.e	Enterprising	OI	6.33	3/2002	Legacy Analyst
11-9011.01	1.B.1.f	Conventional	OI	4.33	3/2002	Legacy Analyst
11-9011.01	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-9011.01	1.B.1.h	Second Interest High-Point	IH	1	3/2002	Legacy Analyst
11-9011.01	1.B.1.i	Third Interest High-Point	IH	6	3/2002	Legacy Analyst
11-9011.02	1.B.1.a	Realistic	OI	5.33	3/2002	Legacy Analyst
11-9011.02	1.B.1.b	Investigative	OI	3.33	3/2002	Legacy Analyst
11-9011.02	1.B.1.c	Artistic	OI	2	3/2002	Legacy Analyst
11-9011.02	1.B.1.d	Social	OI	3	3/2002	Legacy Analyst
11-9011.02	1.B.1.e	Enterprising	OI	6.33	3/2002	Legacy Analyst
11-9011.02	1.B.1.f	Conventional	OI	4.66	3/2002	Legacy Analyst
11-9011.02	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-9011.02	1.B.1.h	Second Interest High-Point	IH	1	3/2002	Legacy Analyst
11-9011.02	1.B.1.i	Third Interest High-Point	IH	6	3/2002	Legacy Analyst
11-9011.03	1.B.1.a	Realistic	OI	5.33	3/2002	Legacy Analyst
11-9011.03	1.B.1.b	Investigative	OI	3.33	3/2002	Legacy Analyst
11-9011.03	1.B.1.c	Artistic	OI	2	3/2002	Legacy Analyst
11-9011.03	1.B.1.d	Social	OI	3.33	3/2002	Legacy Analyst
11-9011.03	1.B.1.e	Enterprising	OI	6.33	3/2002	Legacy Analyst
11-9011.03	1.B.1.f	Conventional	OI	4.66	3/2002	Legacy Analyst
11-9011.03	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-9011.03	1.B.1.h	Second Interest High-Point	IH	1	3/2002	Legacy Analyst
11-9011.03	1.B.1.i	Third Interest High-Point	IH	6	3/2002	Legacy Analyst
11-9012.00	1.B.1.a	Realistic	OI	6.66	3/2002	Legacy Analyst
11-9012.00	1.B.1.b	Investigative	OI	3	3/2002	Legacy Analyst
11-9012.00	1.B.1.c	Artistic	OI	2	3/2002	Legacy Analyst
11-9012.00	1.B.1.d	Social	OI	3	3/2002	Legacy Analyst
11-9012.00	1.B.1.e	Enterprising	OI	5.33	3/2002	Legacy Analyst
11-9012.00	1.B.1.f	Conventional	OI	4.33	3/2002	Legacy Analyst
11-9012.00	1.B.1.g	First Interest High-Point	IH	1	3/2002	Legacy Analyst
11-9012.00	1.B.1.h	Second Interest High-Point	IH	5	3/2002	Legacy Analyst
11-9012.00	1.B.1.i	Third Interest High-Point	IH	6	3/2002	Legacy Analyst
11-9021.00	1.B.1.a	Realistic	OI	5.66	3/2002	Legacy Analyst
11-9021.00	1.B.1.b	Investigative	OI	2.33	3/2002	Legacy Analyst
11-9021.00	1.B.1.c	Artistic	OI	2	3/2002	Legacy Analyst
11-9021.00	1.B.1.d	Social	OI	2.66	3/2002	Legacy Analyst
11-9021.00	1.B.1.e	Enterprising	OI	6.33	3/2002	Legacy Analyst
11-9021.00	1.B.1.f	Conventional	OI	5	3/2002	Legacy Analyst
11-9021.00	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-9021.00	1.B.1.h	Second Interest High-Point	IH	1	3/2002	Legacy Analyst
11-9021.00	1.B.1.i	Third Interest High-Point	IH	6	3/2002	Legacy Analyst
11-9031.00	1.B.1.a	Realistic	OI	2	3/2002	Legacy Analyst
11-9031.00	1.B.1.b	Investigative	OI	4.33	3/2002	Legacy Analyst
11-9031.00	1.B.1.c	Artistic	OI	3.66	3/2002	Legacy Analyst
11-9031.00	1.B.1.d	Social	OI	6.66	3/2002	Legacy Analyst
11-9031.00	1.B.1.e	Enterprising	OI	5.66	3/2002	Legacy Analyst
11-9031.00	1.B.1.f	Conventional	OI	3	3/2002	Legacy Analyst
11-9031.00	1.B.1.g	First Interest High-Point	IH	4	3/2002	Legacy Analyst
11-9031.00	1.B.1.h	Second Interest High-Point	IH	5	3/2002	Legacy Analyst
11-9031.00	1.B.1.i	Third Interest High-Point	IH	2	3/2002	Legacy Analyst
11-9032.00	1.B.1.a	Realistic	OI	2	3/2002	Legacy Analyst
11-9032.00	1.B.1.b	Investigative	OI	4.33	3/2002	Legacy Analyst
11-9032.00	1.B.1.c	Artistic	OI	3.66	3/2002	Legacy Analyst
11-9032.00	1.B.1.d	Social	OI	6.66	3/2002	Legacy Analyst
11-9032.00	1.B.1.e	Enterprising	OI	5.66	3/2002	Legacy Analyst
11-9032.00	1.B.1.f	Conventional	OI	3	3/2002	Legacy Analyst
11-9032.00	1.B.1.g	First Interest High-Point	IH	4	3/2002	Legacy Analyst
11-9032.00	1.B.1.h	Second Interest High-Point	IH	5	3/2002	Legacy Analyst
11-9032.00	1.B.1.i	Third Interest High-Point	IH	2	3/2002	Legacy Analyst
11-9033.00	1.B.1.a	Realistic	OI	2	3/2002	Legacy Analyst
11-9033.00	1.B.1.b	Investigative	OI	4.66	3/2002	Legacy Analyst
11-9033.00	1.B.1.c	Artistic	OI	3	3/2002	Legacy Analyst
11-9033.00	1.B.1.d	Social	OI	4.66	3/2002	Legacy Analyst
11-9033.00	1.B.1.e	Enterprising	OI	6.33	3/2002	Legacy Analyst
11-9033.00	1.B.1.f	Conventional	OI	4.66	3/2002	Legacy Analyst
11-9033.00	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-9033.00	1.B.1.h	Second Interest High-Point	IH	4	3/2002	Legacy Analyst
11-9033.00	1.B.1.i	Third Interest High-Point	IH	6	3/2002	Legacy Analyst
11-9041.00	1.B.1.a	Realistic	OI	5	3/2002	Legacy Analyst
11-9041.00	1.B.1.b	Investigative	OI	5	3/2002	Legacy Analyst
11-9041.00	1.B.1.c	Artistic	OI	2.33	3/2002	Legacy Analyst
11-9041.00	1.B.1.d	Social	OI	2.66	3/2002	Legacy Analyst
11-9041.00	1.B.1.e	Enterprising	OI	6.33	3/2002	Legacy Analyst
11-9041.00	1.B.1.f	Conventional	OI	4.66	3/2002	Legacy Analyst
11-9041.00	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-9041.00	1.B.1.h	Second Interest High-Point	IH	1	3/2002	Legacy Analyst
11-9041.00	1.B.1.i	Third Interest High-Point	IH	2	3/2002	Legacy Analyst
11-9051.00	1.B.1.a	Realistic	OI	3.66	3/2002	Legacy Analyst
11-9051.00	1.B.1.b	Investigative	OI	2	3/2002	Legacy Analyst
11-9051.00	1.B.1.c	Artistic	OI	2	3/2002	Legacy Analyst
11-9051.00	1.B.1.d	Social	OI	4.66	3/2002	Legacy Analyst
11-9051.00	1.B.1.e	Enterprising	OI	6.33	3/2002	Legacy Analyst
11-9051.00	1.B.1.f	Conventional	OI	4.66	3/2002	Legacy Analyst
11-9051.00	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-9051.00	1.B.1.h	Second Interest High-Point	IH	6	3/2002	Legacy Analyst
11-9051.00	1.B.1.i	Third Interest High-Point	IH	4	3/2002	Legacy Analyst
11-9061.00	1.B.1.a	Realistic	OI	3.33	3/2002	Legacy Analyst
11-9061.00	1.B.1.b	Investigative	OI	2.66	3/2002	Legacy Analyst
11-9061.00	1.B.1.c	Artistic	OI	3	3/2002	Legacy Analyst
11-9061.00	1.B.1.d	Social	OI	5.33	3/2002	Legacy Analyst
11-9061.00	1.B.1.e	Enterprising	OI	6.33	3/2002	Legacy Analyst
11-9061.00	1.B.1.f	Conventional	OI	4.33	3/2002	Legacy Analyst
11-9061.00	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-9061.00	1.B.1.h	Second Interest High-Point	IH	4	3/2002	Legacy Analyst
11-9061.00	1.B.1.i	Third Interest High-Point	IH	6	3/2002	Legacy Analyst
11-9071.00	1.B.1.a	Realistic	OI	3.66	3/2002	Legacy Analyst
11-9071.00	1.B.1.b	Investigative	OI	2.33	3/2002	Legacy Analyst
11-9071.00	1.B.1.c	Artistic	OI	2.66	3/2002	Legacy Analyst
11-9071.00	1.B.1.d	Social	OI	3.33	3/2002	Legacy Analyst
11-9071.00	1.B.1.e	Enterprising	OI	7	3/2002	Legacy Analyst
11-9071.00	1.B.1.f	Conventional	OI	5.33	3/2002	Legacy Analyst
11-9071.00	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-9071.00	1.B.1.h	Second Interest High-Point	IH	6	3/2002	Legacy Analyst
11-9071.00	1.B.1.i	Third Interest High-Point	IH	0	3/2002	Legacy Analyst
11-9081.00	1.B.1.a	Realistic	OI	3	3/2002	Legacy Analyst
11-9081.00	1.B.1.b	Investigative	OI	1.66	3/2002	Legacy Analyst
11-9081.00	1.B.1.c	Artistic	OI	2	3/2002	Legacy Analyst
11-9081.00	1.B.1.d	Social	OI	4.66	3/2002	Legacy Analyst
11-9081.00	1.B.1.e	Enterprising	OI	6.33	3/2002	Legacy Analyst
11-9081.00	1.B.1.f	Conventional	OI	5	3/2002	Legacy Analyst
11-9081.00	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-9081.00	1.B.1.h	Second Interest High-Point	IH	6	3/2002	Legacy Analyst
11-9081.00	1.B.1.i	Third Interest High-Point	IH	4	3/2002	Legacy Analyst
11-9111.00	1.B.1.a	Realistic	OI	2	3/2002	Legacy Analyst
11-9111.00	1.B.1.b	Investigative	OI	4	3/2002	Legacy Analyst
11-9111.00	1.B.1.c	Artistic	OI	3	3/2002	Legacy Analyst
11-9111.00	1.B.1.d	Social	OI	5.33	3/2002	Legacy Analyst
11-9111.00	1.B.1.e	Enterprising	OI	6.33	3/2002	Legacy Analyst
11-9111.00	1.B.1.f	Conventional	OI	3.66	3/2002	Legacy Analyst
11-9111.00	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-9111.00	1.B.1.h	Second Interest High-Point	IH	4	3/2002	Legacy Analyst
11-9111.00	1.B.1.i	Third Interest High-Point	IH	0	3/2002	Legacy Analyst
11-9121.00	1.B.1.a	Realistic	OI	4.33	3/2002	Legacy Analyst
11-9121.00	1.B.1.b	Investigative	OI	6.33	3/2002	Legacy Analyst
11-9121.00	1.B.1.c	Artistic	OI	2.66	3/2002	Legacy Analyst
11-9121.00	1.B.1.d	Social	OI	3.33	3/2002	Legacy Analyst
11-9121.00	1.B.1.e	Enterprising	OI	5.66	3/2002	Legacy Analyst
11-9121.00	1.B.1.f	Conventional	OI	3.33	3/2002	Legacy Analyst
11-9121.00	1.B.1.g	First Interest High-Point	IH	2	3/2002	Legacy Analyst
11-9121.00	1.B.1.h	Second Interest High-Point	IH	5	3/2002	Legacy Analyst
11-9121.00	1.B.1.i	Third Interest High-Point	IH	0	3/2002	Legacy Analyst
11-9131.00	1.B.1.a	Realistic	OI	3.33	3/2002	Legacy Analyst
11-9131.00	1.B.1.b	Investigative	OI	2.33	3/2002	Legacy Analyst
11-9131.00	1.B.1.c	Artistic	OI	2.33	3/2002	Legacy Analyst
11-9131.00	1.B.1.d	Social	OI	4.33	3/2002	Legacy Analyst
11-9131.00	1.B.1.e	Enterprising	OI	6.33	3/2002	Legacy Analyst
11-9131.00	1.B.1.f	Conventional	OI	5	3/2002	Legacy Analyst
11-9131.00	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-9131.00	1.B.1.h	Second Interest High-Point	IH	6	3/2002	Legacy Analyst
11-9131.00	1.B.1.i	Third Interest High-Point	IH	4	3/2002	Legacy Analyst
11-9141.00	1.B.1.a	Realistic	OI	3.33	3/2002	Legacy Analyst
11-9141.00	1.B.1.b	Investigative	OI	2	3/2002	Legacy Analyst
11-9141.00	1.B.1.c	Artistic	OI	2	3/2002	Legacy Analyst
11-9141.00	1.B.1.d	Social	OI	3	3/2002	Legacy Analyst
11-9141.00	1.B.1.e	Enterprising	OI	6.33	3/2002	Legacy Analyst
11-9141.00	1.B.1.f	Conventional	OI	6	3/2002	Legacy Analyst
11-9141.00	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
11-9141.00	1.B.1.h	Second Interest High-Point	IH	6	3/2002	Legacy Analyst
11-9141.00	1.B.1.i	Third Interest High-Point	IH	0	3/2002	Legacy Analyst
11-9151.00	1.B.1.a	Realistic	OI	2.66	3/2002	Legacy Analyst
11-9151.00	1.B.1.b	Investigative	OI	3	3/2002	Legacy Analyst
11-9151.00	1.B.1.c	Artistic	OI	4.33	3/2002	Legacy Analyst
11-9151.00	1.B.1.d	Social	OI	6.66	3/2002	Legacy Analyst
11-9151.00	1.B.1.e	Enterprising	OI	5.66	3/2002	Legacy Analyst
11-9151.00	1.B.1.f	Conventional	OI	3.66	3/2002	Legacy Analyst
11-9151.00	1.B.1.g	First Interest High-Point	IH	4	3/2002	Legacy Analyst
11-9151.00	1.B.1.h	Second Interest High-Point	IH	5	3/2002	Legacy Analyst
11-9151.00	1.B.1.i	Third Interest High-Point	IH	0	3/2002	Legacy Analyst
13-1011.00	1.B.1.a	Realistic	OI	2.66	3/2002	Legacy Analyst
13-1011.00	1.B.1.b	Investigative	OI	2.66	3/2002	Legacy Analyst
13-1011.00	1.B.1.c	Artistic	OI	4	3/2002	Legacy Analyst
13-1011.00	1.B.1.d	Social	OI	4.33	3/2002	Legacy Analyst
13-1011.00	1.B.1.e	Enterprising	OI	6.66	3/2002	Legacy Analyst
13-1011.00	1.B.1.f	Conventional	OI	4	3/2002	Legacy Analyst
13-1011.00	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
13-1011.00	1.B.1.h	Second Interest High-Point	IH	4	3/2002	Legacy Analyst
13-1011.00	1.B.1.i	Third Interest High-Point	IH	0	3/2002	Legacy Analyst
13-1021.00	1.B.1.a	Realistic	OI	4.66	3/2002	Legacy Analyst
13-1021.00	1.B.1.b	Investigative	OI	2.66	3/2002	Legacy Analyst
13-1021.00	1.B.1.c	Artistic	OI	2	3/2002	Legacy Analyst
13-1021.00	1.B.1.d	Social	OI	3	3/2002	Legacy Analyst
13-1021.00	1.B.1.e	Enterprising	OI	6.33	3/2002	Legacy Analyst
13-1021.00	1.B.1.f	Conventional	OI	5.33	3/2002	Legacy Analyst
13-1021.00	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
13-1021.00	1.B.1.h	Second Interest High-Point	IH	6	3/2002	Legacy Analyst
13-1021.00	1.B.1.i	Third Interest High-Point	IH	1	3/2002	Legacy Analyst
13-1022.00	1.B.1.a	Realistic	OI	2.66	3/2002	Legacy Analyst
13-1022.00	1.B.1.b	Investigative	OI	3	3/2002	Legacy Analyst
13-1022.00	1.B.1.c	Artistic	OI	2.66	3/2002	Legacy Analyst
13-1022.00	1.B.1.d	Social	OI	4	3/2002	Legacy Analyst
13-1022.00	1.B.1.e	Enterprising	OI	6.33	3/2002	Legacy Analyst
13-1022.00	1.B.1.f	Conventional	OI	6	3/2002	Legacy Analyst
13-1022.00	1.B.1.g	First Interest High-Point	IH	5	3/2002	Legacy Analyst
13-1022.00	1.B.1.h	Second Interest High-Point	IH	6	3/2002	Legacy Analyst
13-1022.00	1.B.1.i	Third Interest High-Point	IH	0	3/2002	Legacy Analyst
13-1023.00	1.B.1.a	Realistic	OI	3.66	3/2002	Legacy Analyst
13-1023.00	1.B.1.b	Investigative	OI	2.66	3/2002	Legacy Analyst
13-1023.00	1.B.1.c	Artistic	OI	2	3/2002	Legacy Analyst
13-1023.00	1.B.1.d	Social	OI	3.33	3/2002	Legacy Analyst
