Rank,Probability,Label,Occupation,SOC Code
449,0.82,,Engine and Other Machine Assemblers,512031
450,0.82,,Security and Fire Alarm Systems Installers,492098
451,0.82,,"Refractory Materials Repairers, Except Brickmasons",499045
452,0.82,,Nonfarm Animal Caretakers,392021
453,0.82,1,Sheet Metal Workers,472211
454,0.82,,Pile-Driver Operators,472072
455,0.82,,Brickmasons and Blockmasons,472021
456,0.83,,Fishers and Related Fishing Workers,453011
456,0.83,,Fishers and Related Fishing Workers,453031
457,0.83,,Structural Iron and Steel Workers,472221
458,0.83,,"Railroad Brake, Signal, and Switch Operators",534021
458,0.83,,"Railroad Brake, Signal, and Switch Operators",534022
459,0.83,,Railroad Conductors and Yardmasters,534031
460,0.83,,"Cooks, Institution and Cafeteria",352012
461,0.83,,Sailors and Marine Oilers,535011
462,0.83,,"Mixing and Blending Machine Setters, Operators, and Tenders",519023
463,0.83,,"Helpers–Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",473011
464,0.83,,Segmental Pavers,474091
465,0.83,,"Insulation Workers, Floor, Ceiling, and Wall",472131
466,0.83,,Printing Press Operators,515112
466,0.83,,Printing Press Operators,515021
466,0.83,,Printing Press Operators,515112
466,0.83,,Printing Press Operators,515023
467,0.83,,Automotive and Watercraft Service Attendants,536031
468,0.83,,Septic Tank Servicers and Sewer Pipe Cleaners,474071
469,0.83,,Baggage Porters and Bellhops,396011
470,0.83,,Gaming Change Persons and Booth Cashiers,412012
471,0.83,,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",514023
472,0.83,,"Paving, Surfacing, and Tamping Equipment Operators",472071
473,0.84,,Tool and Die Makers,514111
474,0.84,,Electrical and Electronics Engineering Technicians,173023
475,0.84,,Plasterers and Stucco Masons,472161
476,0.84,,"Layout Workers, Metal and Plastic",514192
477,0.84,,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",514034
478,0.84,,Security Guards,339032
479,0.84,,"Tailors, Dressmakers, and Custom Sewers",516052
480,0.84,,Wellhead Pumpers,537073
481,0.84,,Proofreaders and Copy Markers,439081
482,0.84,,Parking Enforcement Workers,333041
483,0.85,,"Laborers and Freight, Stock, and Material Movers, Hand",537062
484,0.85,,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",414012
485,0.85,1,"Meter Readers, Utilities",435041
486,0.85,,Power Plant Operators,518013
487,0.85,,Chemical Plant and System Operators,518091
488,0.85,,"Earth Drillers, Except Oil and Gas",475021
488,0.85,,"Earth Drillers, Except Oil and Gas",475023
488,0.85,,"Earth Drillers, Except Oil and Gas",475021
488,0.85,,"Earth Drillers, Except Oil and Gas",475032
489,0.85,,Nuclear Technicians,194051
490,0.86,,Executive Secretaries and Executive Administrative Assistants,436011
491,0.86,,"Plant and System Operators, All Other",518099
492,0.86,,"Food Servers, Nonrestaurant",353041
493,0.86,,"Sawing Machine Setters, Operators, and Tenders, Wood",517041
494,0.86,,Subway and Streetcar Operators,534041
495,0.86,,Veterinary Assistants and Laboratory Animal Caretakers,319096
496,0.86,,"Cutting and Slicing Machine Setters, Operators, and Tenders",519032
497,0.86,,Real Estate Sales Agents,419022
498,0.86,1,"Computer-Controlled Machine Tool Operators, Metal and Plastic",514011
498,0.86,1,"Computer-Controlled Machine Tool Operators, Metal and Plastic",519161
499,0.86,,"Maintenance Workers, Machinery",499043
500,0.86,,Correspondence Clerks,434021
501,0.87,,Miscellaneous Agricultural Workers,452090
502,0.87,,Forest and Conservation Workers,454011
503,0.87,,"Pourers and Casters, Metal",514052
504,0.87,,Carpet Installers,472041
505,0.87,,Paperhangers,472142
506,0.87,,"Buyers and Purchasing Agents, Farm Products",131021
507,0.87,,Furniture Finishers,517021
508,0.87,,Food Preparation Workers,352021
509,0.87,,Floor Sanders and Finishers,472043
510,0.87,1,Parking Lot Attendants,536021
511,0.87,,Highway Maintenance Workers,474051
512,0.88,,Construction Laborers,472061
513,0.88,,"Production, Planning, and Expediting Clerks",435061
514,0.88,,Semiconductor Processors,519141
515,0.88,,Cartographers and Photogrammetrists,171021
516,0.88,,Metal-Refining Furnace Operators and Tenders,514051
517,0.88,,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",519012
518,0.88,,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",516091
519,0.88,,Terrazzo Workers and Finishers,472053
520,0.88,,"Tool Grinders, Filers, and Sharpeners",514194
521,0.88,,Rail Car Repairers,493043
522,0.89,,Bakers,513011
523,0.89,1,Medical Transcriptionists,319094
524,0.89,,Stonemasons,472022
525,0.89,,"Bus Drivers, School or Special Client",533022
525,0.89,,"Bus Drivers, School or Special Client",533051
525,0.89,,"Bus Drivers, School or Special Client",533022
525,0.89,,"Bus Drivers, School or Special Client",533053
526,0.89,1,Technical Writers,273042
527,0.89,,Riggers,499096
528,0.89,,Rail-Track Laying and Maintenance Equipment Operators,474061
529,0.89,,Stationary Engineers and Boiler Operators,518021
530,0.89,1,Sewing Machine Operators,516031
531,0.89,1,Taxi Drivers and Chauffeurs,533041
531,0.89,1,Taxi Drivers and Chauffeurs,533053
531,0.89,1,Taxi Drivers and Chauffeurs,533041
531,0.89,1,Taxi Drivers and Chauffeurs,533054
532,0.9,1,"Human Resources Assistants, Except Payroll and Timekeeping",434161
533,0.9,,Medical and Clinical Laboratory Technologists,292011
534,0.9,,Reinforcing Iron and Rebar Workers,472171
535,0.9,,Roofers,472181
536,0.9,,Crane and Tower Operators,537021
537,0.9,,Traffic Technicians,536041
538,0.9,,Transportation Inspectors,536051
539,0.9,,"Patternmakers, Metal and Plastic",514062
540,0.9,,"Molders, Shapers, and Casters, Except Metal and Plastic",519195
541,0.9,,Appraisers and Assessors of Real Estate,132021
541,0.9,,Appraisers and Assessors of Real Estate,132022
541,0.9,,Appraisers and Assessors of Real Estate,132021
541,0.9,,Appraisers and Assessors of Real Estate,132023
542,0.9,,"Pump Operators, Except Wellhead Pumpers",537072
543,0.9,,Signal and Track Switch Repairers,499097
544,0.91,,Gaming and Sports Book Writers and Runners,393012
545,0.91,,Musical Instrument Repairers and Tuners,499063
546,0.91,,Tour Guides and Escorts,397011
546,0.91,,Tour Guides and Escorts,396021
547,0.91,,Mechanical Door Repairers,499011
548,0.91,,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",513091
549,0.91,,Gas Compressor and Gas Pumping Station Operators,537071
550,0.91,,Medical Records and Health Information Technicians,292071
550,0.91,,Medical Records and Health Information Technicians,292072
550,0.91,,Medical Records and Health Information Technicians,292071
550,0.91,,Medical Records and Health Information Technicians,299021
551,0.91,,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",519121
551,0.91,,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",519124
552,0.91,,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",514081
553,0.91,,"Rail Yard Engineers, Dinkey Operators, and Hostlers",534013
554,0.91,,"Electrical and Electronics Installers and Repairers, Transportation Equipment",492093
555,0.91,,Dining Room and Cafeteria Attendants and Bartender Helpers,359011
556,0.91,,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",514191
557,0.91,,Geological and Petroleum Technicians,194041
557,0.91,,Geological and Petroleum Technicians,194043
557,0.91,,Geological and Petroleum Technicians,194041
557,0.91,,Geological and Petroleum Technicians,194044
558,0.91,,Automotive Body and Related Repairers,493021
559,0.91,,"Patternmakers, Wood",517032
560,0.91,,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",514021
561,0.92,,"Office Machine Operators, Except Computer",439071
562,0.92,,Pharmacy Technicians,292052
563,0.92,,Loan Interviewers and Clerks,434131
564,0.92,,Dredge Operators,537031
565,0.92,,Insurance Sales Agents,413021
566,0.92,,Cabinetmakers and Bench Carpenters,517011
567,0.92,,"Painting, Coating, and Decorating Workers",519123
568,0.92,,Fence Erectors,474031
569,0.92,,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",514193
570,0.92,,Retail Salespersons,412031
571,0.92,,"Combined Food Preparation and Serving Workers, Including Fast Food",353021
571,0.92,,"Combined Food Preparation and Serving Workers, Including Fast Food",353023
572,0.92,,"Production Workers, All Other",519399
573,0.92,,Helpers–Carpenters,473012
574,0.93,,Cooling and Freezing Equipment Operators and Tenders,519193
575,0.93,,Fiberglass Laminators and Fabricators,512091
575,0.93,,Fiberglass Laminators and Fabricators,512051
576,0.93,,"Service Unit Operators, Oil, Gas, and Mining",475013
577,0.93,,Conveyor Operators and Tenders,537011
578,0.93,,Outdoor Power Equipment and Other Small Engine Mechanics,493053
579,0.93,,Locomotive Firers,534012
579,0.93,,Locomotive Firers,534022
580,0.93,,Machine Feeders and Offbearers,537063
581,0.93,,"Model Makers, Metal and Plastic",514061
582,0.93,,"Radio, Cellular, and Tower Equipment Installers and Repairs",492021
583,0.93,,Butchers and Meat Cutters,513021
584,0.93,,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",519041
585,0.93,,Refuse and Recyclable Material Collectors,537081
586,0.93,1,"Tax Examiners and Collectors, and Revenue Agents",132081
587,0.93,,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",514022
588,0.93,1,Industrial Truck and Tractor Operators,537051
589,0.94,1,Accountants and Auditors,132011
590,0.94,,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",514032
591,0.94,,"Mail Clerks and Mail Machine Operators, Except Postal Service",439051
592,0.94,0,Waiters and Waitresses,353031
593,0.94,,"Meat, Poultry, and Fish Cutters and Trimmers",513022
594,0.94,,Budget Analysts,132031
595,0.94,,Cement Masons and Concrete Finishers,472051
596,0.94,,Bicycle Repairers,493091
597,0.94,,"Coin, Vending, and Amusement Machine Servicers and Repairers",499091
598,0.94,,"Welders, Cutters, Solderers, and Brazers",514121
599,0.94,1,Couriers and Messengers,435021
600,0.94,,"Interviewers, Except Eligibility and Loan",434111
601,0.94,,"Cooks, Short Order",352015
602,0.94,,Excavating and Loading Machine and Dragline Operators,537032
602,0.94,,Excavating and Loading Machine and Dragline Operators,475022
602,0.94,,Excavating and Loading Machine and Dragline Operators,537032
602,0.94,,Excavating and Loading Machine and Dragline Operators,537199
603,0.94,,"Helpers–Painters, Paperhangers, Plasterers, and Stucco Masons",473014
604,0.94,,"Hotel, Motel, and Resort Desk Clerks",434081
605,0.94,,Tire Builders,519197
606,0.94,,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",419091
607,0.94,,First-Line Supervisors of Housekeeping and Janitorial Workers,371011
608,0.94,,Agricultural Inspectors,452011
609,0.94,1,Paralegals and Legal Assistants,232011
609,0.94,1,Paralegals and Legal Assistants,232092
610,0.95,,Manicurists and Pedicurists,395092
611,0.95,,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",435111
612,0.95,,"Textile Cutting Machine Setters, Operators, and Tenders",516062
613,0.95,,Bill and Account Collectors,433011
614,0.95,,Nuclear Power Reactor Operators,518011
615,0.95,,Gaming Surveillance Officers and Gaming Investigators,339031
616,0.95,,"Library Assistants, Clerical",434121
617,0.95,,Operating Engineers and Other Construction Equipment Operators,472073
618,0.95,,Print Binding and Finishing Workers,515113
618,0.95,,Print Binding and Finishing Workers,515011
618,0.95,,Print Binding and Finishing Workers,515113
618,0.95,,Print Binding and Finishing Workers,515012
618,0.95,,Print Binding and Finishing Workers,515113
618,0.95,,Print Binding and Finishing Workers,515021
619,0.95,,Animal Breeders,452021
620,0.95,,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",514072
621,0.95,1,Electrical and Electronic Equipment Assemblers,512022
622,0.95,,Adhesive Bonding Machine Operators and Tenders,519191
623,0.95,,Landscaping and Groundskeeping Workers,373011
624,0.95,,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",514033
625,0.95,,Postal Service Clerks,435051
626,0.95,,Jewelers and Precious Stone and Metal Workers,519071
627,0.96,,"Dispatchers, Except Police, Fire, and Ambulance",435032
628,0.96,,Receptionists and Information Clerks,434171
629,0.96,,"Office Clerks, General",439061
630,0.96,,Compensation and Benefits Managers,113111
630,0.96,,Compensation and Benefits Managers,113041
631,0.96,1,"Switchboard Operators, Including Answering Service",432011
632,0.96,,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",353022
632,0.96,,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",353023
633,0.96,,"Rock Splitters, Quarry",475051
634,0.96,,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",436014
635,0.96,,Surveying and Mapping Technicians,173031
636,0.96,,"Model Makers, Wood",517031
637,0.96,,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",516064
638,0.96,,Locomotive Engineers,534011
639,0.96,1,Gaming Dealers,393011
640,0.96,,"Fabric Menders, Except Garment",499093
640,0.96,,"Fabric Menders, Except Garment",499099
641,0.96,,"Cooks, Restaurant",352014
642,0.96,,"Ushers, Lobby Attendants, and Ticket Takers",393031
643,0.96,,Billing and Posting Clerks,433021
644,0.97,,Bridge and Lock Tenders,536011
645,0.97,,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",517042
646,0.97,,Team Assemblers,512092
647,0.97,,Shoe Machine Operators and Tenders,516042
648,0.97,,Electromechanical Equipment Assemblers,512023
649,0.97,1,Farm Labor Contractors,131074
649,0.97,1,Farm Labor Contractors,451012
650,0.97,,Textile Bleaching and Dyeing Machine Operators and Tenders,516061
651,0.97,,Dental Laboratory Technicians,519081
652,0.97,,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",519021
653,0.97,,"Grinding and Polishing Workers, Hand",519022
654,0.97,,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",373012
655,0.97,,Log Graders and Scalers,454023
656,0.97,,Ophthalmic Laboratory Technicians,519083
657,0.97,1,Cashiers,412011
658,0.97,,Camera and Photographic Equipment Repairers,499061
659,0.97,,Motion Picture Projectionists,393021
660,0.97,,Prepress Technicians and Workers,515111
660,0.97,,Prepress Technicians and Workers,515022
661,0.97,,Counter and Rental Clerks,412021
662,0.97,1,File Clerks,434071
663,0.97,,Real Estate Brokers,419021
664,0.97,,Telephone Operators,432021
665,0.97,,Agricultural and Food Science Technicians,194011
665,0.97,,Agricultural and Food Science Technicians,194012
665,0.97,,Agricultural and Food Science Technicians,194011
665,0.97,,Agricultural and Food Science Technicians,194013
666,0.97,,Payroll and Timekeeping Clerks,433051
667,0.97,1,"Credit Authorizers, Checkers, and Clerks",434041
668,0.97,,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",359031
669,0.98,,Models,419012
670,0.98,,"Inspectors, Testers, Sorters, Samplers, and Weighers",519061
671,0.98,,"Bookkeeping, Accounting, and Auditing Clerks",433031
672,0.98,,Legal Secretaries,436012
673,0.98,,Radio Operators,274013
673,0.98,,Radio Operators,432099
674,0.98,,Driver/Sales Workers,533031
675,0.98,1,"Claims Adjusters, Examiners, and Investigators",131031
676,0.98,,Parts Salespersons,412022
677,0.98,1,Credit Analysts,132041
678,0.98,,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",514035
679,0.98,,"Shipping, Receiving, and Traffic Clerks",435071
680,0.98,,Procurement Clerks,433061
681,0.98,,Packaging and Filling Machine Operators and Tenders,519111
682,0.98,,Etchers and Engravers,519194
683,0.98,,Tellers,433071
684,0.98,,"Umpires, Referees, and Other Sports Officials",272023
685,0.98,,"Insurance Appraisers, Auto Damage",131032
686,0.98,1,Loan Officers,132072
687,0.98,,Order Clerks,434151
688,0.98,,Brokerage Clerks,434011
689,0.98,,Insurance Claims and Policy Processing Clerks,439041
690,0.98,,Timing Device Assemblers and Adjusters,512093
690,0.98,,Timing Device Assemblers and Adjusters,512061
691,0.99,1,Data Entry Keyers,439021
692,0.99,,Library Technicians,254031
693,0.99,,New Accounts Clerks,434141
694,0.99,,Photographic Process Workers and Processing Machine Operators,519151
694,0.99,,Photographic Process Workers and Processing Machine Operators,519131
694,0.99,,Photographic Process Workers and Processing Machine Operators,519151
694,0.99,,Photographic Process Workers and Processing Machine Operators,519132
695,0.99,,Tax Preparers,132082
696,0.99,,Cargo and Freight Agents,435011
697,0.99,,Watch Repairers,499064
698,0.99,1,Insurance Underwriters,132053
699,0.99,,Mathematical Technicians,152091
699,0.99,,Mathematical Technicians,152099
700,0.99,,"Sewers, Hand",516051
701,0.99,,"Title Examiners, Abstractors, and Searchers",232093
702,0.99,,Telemarketers,419041
