O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-2011.00	1.C.4.c	Adaptability/Flexibility	IM	4.3	39	.17	3.96	4.63	N	12/2004	Incumbent
11-2011.00	1.C.5.a	Dependability	IM	4.77	39	.12	4.54	5	N	12/2004	Incumbent
11-2011.00	1.C.5.b	Attention to Detail	IM	4.8	39	.1	4.59	5	N	12/2004	Incumbent
11-2011.00	1.C.5.c	Integrity	IM	4.56	39	.25	4.05	5	N	12/2004	Incumbent
11-2011.00	1.C.6	Independence	IM	4.06	38	.15	3.76	4.36	N	12/2004	Incumbent
11-2011.00	1.C.7.a	Innovation	IM	4.49	39	.23	4.04	4.95	N	12/2004	Incumbent
11-2011.00	1.C.7.b	Analytical Thinking	IM	3.9	39	.1	3.7	4.1	N	12/2004	Incumbent
11-2021.00	1.C.1.a	Achievement/Effort	IM	4.38	17	.19	3.97	4.79	N	7/2004	Incumbent
11-2021.00	1.C.1.b	Persistence	IM	4.51	17	.18	4.13	4.89	N	7/2004	Incumbent
11-2021.00	1.C.1.c	Initiative	IM	4.65	17	.13	4.38	4.93	N	7/2004	Incumbent
11-2021.00	1.C.2.b	Leadership	IM	4.67	17	.15	4.35	4.99	N	7/2004	Incumbent
11-2021.00	1.C.3.a	Cooperation	IM	4.24	17	.15	3.93	4.55	N	7/2004	Incumbent
11-2021.00	1.C.3.b	Concern for Others	IM	3.92	17	.19	3.51	4.33	N	7/2004	Incumbent
11-2021.00	1.C.3.c	Social Orientation	IM	4.23	17	.26	3.67	4.79	N	7/2004	Incumbent
11-2021.00	1.C.4.a	Self Control	IM	3.97	17	.2	3.54	4.4	N	7/2004	Incumbent
11-2021.00	1.C.4.b	Stress Tolerance	IM	4.13	17	.11	3.9	4.37	N	7/2004	Incumbent
11-2021.00	1.C.4.c	Adaptability/Flexibility	IM	4.65	17	.13	4.38	4.91	N	7/2004	Incumbent
11-2021.00	1.C.5.a	Dependability	IM	4.42	17	.17	4.07	4.77	N	7/2004	Incumbent
11-2021.00	1.C.5.b	Attention to Detail	IM	4.08	17	.25	3.56	4.61	N	7/2004	Incumbent
11-2021.00	1.C.5.c	Integrity	IM	4.51	17	.2	4.09	4.92	N	7/2004	Incumbent
11-2021.00	1.C.6	Independence	IM	4.28	17	.15	3.95	4.6	N	7/2004	Incumbent
11-2021.00	1.C.7.a	Innovation	IM	4.21	17	.19	3.81	4.6	N	7/2004	Incumbent
11-2021.00	1.C.7.b	Analytical Thinking	IM	3.64	17	.35	2.9	4.38	N	7/2004	Incumbent
11-2022.00	1.C.1.a	Achievement/Effort	IM	2.93	25	.51	1.88	3.98	N	3/2003	Incumbent
11-2022.00	1.C.1.b	Persistence	IM	3.39	25	.56	2.24	4.54	N	3/2003	Incumbent
11-2022.00	1.C.1.c	Initiative	IM	3.2	25	.89	1.37	5	N	3/2003	Incumbent
11-2022.00	1.C.2.b	Leadership	IM	3.11	25	.84	1.38	4.85	N	3/2003	Incumbent
11-2022.00	1.C.3.a	Cooperation	IM	3.7	25	.3	3.08	4.32	N	3/2003	Incumbent
11-2022.00	1.C.3.b	Concern for Others	IM	4	25	.14	3.7	4.29	N	3/2003	Incumbent
11-2022.00	1.C.3.c	Social Orientation	IM	2.84	25	.75	1.29	4.4	N	3/2003	Incumbent
11-2022.00	1.C.4.a	Self Control	IM	4.37	25	.19	3.99	4.76	N	3/2003	Incumbent
11-2022.00	1.C.4.b	Stress Tolerance	IM	3	25	.8	1.34	4.65	N	3/2003	Incumbent
11-2022.00	1.C.4.c	Adaptability/Flexibility	IM	3.35	25	.55	2.23	4.48	N	3/2003	Incumbent
11-2022.00	1.C.5.a	Dependability	IM	3.24	25	.9	1.38	5	N	3/2003	Incumbent
11-2022.00	1.C.5.b	Attention to Detail	IM	4.61	25	.19	4.22	5	N	3/2003	Incumbent
11-2022.00	1.C.5.c	Integrity	IM	4.59	25	.2	4.17	5	N	3/2003	Incumbent
11-2022.00	1.C.6	Independence	IM	3.73	25	.3	3.11	4.35	N	3/2003	Incumbent
11-2022.00	1.C.7.a	Innovation	IM	3.68	24	.22	3.23	4.14	N	3/2003	Incumbent
11-2022.00	1.C.7.b	Analytical Thinking	IM	4.1	25	.14	3.82	4.38	N	3/2003	Incumbent
11-2031.00	1.C.1.a	Achievement/Effort	IM	4.26	26	.18	3.89	4.63	N	12/2004	Incumbent
11-2031.00	1.C.1.b	Persistence	IM	3.73	26	.43	2.84	4.62	N	12/2004	Incumbent
11-2031.00	1.C.1.c	Initiative	IM	4.4	26	.24	3.9	4.89	N	12/2004	Incumbent
11-2031.00	1.C.2.b	Leadership	IM	4.77	26	.16	4.44	5	N	12/2004	Incumbent
11-2031.00	1.C.3.a	Cooperation	IM	4.67	26	.27	4.12	5	N	12/2004	Incumbent
11-2031.00	1.C.3.b	Concern for Others	IM	4.66	26	.27	4.11	5	N	12/2004	Incumbent
11-2031.00	1.C.3.c	Social Orientation	IM	4.14	26	.21	3.71	4.56	N	12/2004	Incumbent
11-2031.00	1.C.4.a	Self Control	IM	4.14	26	.21	3.71	4.57	N	12/2004	Incumbent
11-2031.00	1.C.4.b	Stress Tolerance	IM	4.25	26	.19	3.85	4.64	N	12/2004	Incumbent
11-2031.00	1.C.4.c	Adaptability/Flexibility	IM	4.26	26	.19	3.88	4.65	N	12/2004	Incumbent
11-2031.00	1.C.5.a	Dependability	IM	4.82	26	.14	4.53	5	N	12/2004	Incumbent
11-2031.00	1.C.5.b	Attention to Detail	IM	4.8	26	.15	4.5	5	N	12/2004	Incumbent
11-2031.00	1.C.5.c	Integrity	IM	4.39	26	.24	3.9	4.87	N	12/2004	Incumbent
11-2031.00	1.C.6	Independence	IM	4.31	25	.23	3.84	4.79	N	12/2004	Incumbent
11-2031.00	1.C.7.a	Innovation	IM	4.33	26	.22	3.88	4.79	N	12/2004	Incumbent
11-2031.00	1.C.7.b	Analytical Thinking	IM	4.38	26	.24	3.9	4.86	N	12/2004	Incumbent
11-3011.00	1.C.1.a	Achievement/Effort	IM	3.65	31	.34	2.96	4.34	N	3/2003	Incumbent
11-3011.00	1.C.1.b	Persistence	IM	3.91	31	.24	3.42	4.39	N	3/2003	Incumbent
11-3011.00	1.C.1.c	Initiative	IM	4.22	31	.17	3.87	4.56	N	3/2003	Incumbent
11-3011.00	1.C.2.b	Leadership	IM	4.68	31	.15	4.37	4.98	N	3/2003	Incumbent
11-3011.00	1.C.3.a	Cooperation	IM	4.43	31	.19	4.05	4.81	N	3/2003	Incumbent
11-3011.00	1.C.3.b	Concern for Others	IM	4.39	31	.2	3.99	4.8	N	3/2003	Incumbent
11-3011.00	1.C.3.c	Social Orientation	IM	4.42	31	.27	3.87	4.97	N	3/2003	Incumbent
11-3011.00	1.C.4.a	Self Control	IM	4.43	31	.2	4.02	4.84	N	3/2003	Incumbent
11-3011.00	1.C.4.b	Stress Tolerance	IM	4.28	31	.18	3.92	4.65	N	3/2003	Incumbent
11-3011.00	1.C.4.c	Adaptability/Flexibility	IM	4.32	31	.18	3.95	4.69	N	3/2003	Incumbent
11-3011.00	1.C.5.a	Dependability	IM	4.69	31	.16	4.37	5	N	3/2003	Incumbent
11-3011.00	1.C.5.b	Attention to Detail	IM	4.45	31	.19	4.06	4.83	N	3/2003	Incumbent
11-3011.00	1.C.5.c	Integrity	IM	4.86	31	.1	4.66	5	N	3/2003	Incumbent
11-3011.00	1.C.6	Independence	IM	4.6	31	.17	4.25	4.95	N	3/2003	Incumbent
11-3011.00	1.C.7.a	Innovation	IM	4.03	31	.19	3.64	4.43	N	3/2003	Incumbent
11-3011.00	1.C.7.b	Analytical Thinking	IM	4.24	31	.18	3.87	4.61	N	3/2003	Incumbent
11-3021.00	1.C.1.a	Achievement/Effort	IM	4.03	28	.22	3.58	4.47	N	7/2004	Incumbent
11-3021.00	1.C.1.b	Persistence	IM	4.44	28	.3	3.83	5	N	7/2004	Incumbent
11-3021.00	1.C.1.c	Initiative	IM	4.25	28	.16	3.92	4.58	N	7/2004	Incumbent
11-3021.00	1.C.2.b	Leadership	IM	4.28	28	.17	3.92	4.64	N	7/2004	Incumbent
11-3021.00	1.C.3.a	Cooperation	IM	4.27	28	.17	3.92	4.61	N	7/2004	Incumbent
11-3021.00	1.C.3.b	Concern for Others	IM	3.73	28	.35	3.02	4.44	N	7/2004	Incumbent
11-3021.00	1.C.3.c	Social Orientation	IM	3.72	28	.33	3.03	4.4	N	7/2004	Incumbent
11-3021.00	1.C.4.a	Self Control	IM	4.59	28	.2	4.18	5	N	7/2004	Incumbent
11-3021.00	1.C.4.b	Stress Tolerance	IM	4.17	28	.23	3.7	4.64	N	7/2004	Incumbent
11-3021.00	1.C.4.c	Adaptability/Flexibility	IM	4.48	28	.21	4.06	4.9	N	7/2004	Incumbent
11-3021.00	1.C.5.a	Dependability	IM	4.75	28	.15	4.45	5	N	7/2004	Incumbent
11-3021.00	1.C.5.b	Attention to Detail	IM	4.24	28	.17	3.9	4.59	N	7/2004	Incumbent
11-3021.00	1.C.5.c	Integrity	IM	4.55	28	.19	4.15	4.94	N	7/2004	Incumbent
11-3021.00	1.C.6	Independence	IM	4.44	28	.19	4.06	4.82	N	7/2004	Incumbent
11-3021.00	1.C.7.a	Innovation	IM	3.93	28	.2	3.52	4.34	N	7/2004	Incumbent
11-3021.00	1.C.7.b	Analytical Thinking	IM	4.29	28	.17	3.95	4.64	N	7/2004	Incumbent
11-3040.00	1.C.1.a	Achievement/Effort	IM	3.98	24	.29	3.38	4.57	N	7/2004	Incumbent
11-3040.00	1.C.1.b	Persistence	IM	4.38	24	.21	3.95	4.82	N	7/2004	Incumbent
11-3040.00	1.C.1.c	Initiative	IM	4.41	24	.16	4.09	4.73	N	7/2004	Incumbent
11-3040.00	1.C.2.b	Leadership	IM	4.25	24	.12	4.01	4.49	N	7/2004	Incumbent
11-3040.00	1.C.3.a	Cooperation	IM	4.11	24	.21	3.68	4.55	N	7/2004	Incumbent
11-3040.00	1.C.3.b	Concern for Others	IM	4.68	24	.16	4.34	5	N	7/2004	Incumbent
11-3040.00	1.C.3.c	Social Orientation	IM	3.79	24	.31	3.14	4.43	N	7/2004	Incumbent
11-3040.00	1.C.4.a	Self Control	IM	4.18	24	.34	3.47	4.9	N	7/2004	Incumbent
11-3040.00	1.C.4.b	Stress Tolerance	IM	4.31	24	.13	4.04	4.58	N	7/2004	Incumbent
11-3040.00	1.C.4.c	Adaptability/Flexibility	IM	4.06	24	.21	3.63	4.49	N	7/2004	Incumbent
11-3040.00	1.C.5.a	Dependability	IM	4.36	24	.22	3.91	4.81	N	7/2004	Incumbent
11-3040.00	1.C.5.b	Attention to Detail	IM	4.7	24	.16	4.38	5	N	7/2004	Incumbent
11-3040.00	1.C.5.c	Integrity	IM	4.55	24	.2	4.14	4.96	N	7/2004	Incumbent
11-3040.00	1.C.6	Independence	IM	4.41	24	.18	4.04	4.78	N	7/2004	Incumbent
11-3040.00	1.C.7.a	Innovation	IM	3.89	24	.17	3.54	4.23	N	7/2004	Incumbent
11-3040.00	1.C.7.b	Analytical Thinking	IM	3.7	24	.26	3.15	4.24	N	7/2004	Incumbent
11-3041.00	1.C.1.a	Achievement/Effort	IM	4.02	27	.13	3.76	4.28	N	12/2004	Incumbent
11-3041.00	1.C.1.b	Persistence	IM	4.18	27	.16	3.86	4.51	N	12/2004	Incumbent
11-3041.00	1.C.1.c	Initiative	IM	4.29	27	.14	4.01	4.58	N	12/2004	Incumbent
11-3041.00	1.C.2.b	Leadership	IM	4.31	27	.24	3.82	4.8	N	12/2004	Incumbent
11-3041.00	1.C.3.a	Cooperation	IM	4.58	27	.18	4.21	4.95	N	12/2004	Incumbent
11-3041.00	1.C.3.b	Concern for Others	IM	4.57	27	.2	4.15	4.98	N	12/2004	Incumbent
11-3041.00	1.C.3.c	Social Orientation	IM	4.06	26	.2	3.65	4.47	N	12/2004	Incumbent
11-3041.00	1.C.4.a	Self Control	IM	4.75	27	.16	4.43	5	N	12/2004	Incumbent
11-3041.00	1.C.4.b	Stress Tolerance	IM	4.3	27	.23	3.83	4.77	N	12/2004	Incumbent
11-3041.00	1.C.4.c	Adaptability/Flexibility	IM	4.36	27	.18	4	4.72	N	12/2004	Incumbent
11-3041.00	1.C.5.a	Dependability	IM	4.78	27	.11	4.56	5	N	12/2004	Incumbent
11-3041.00	1.C.5.b	Attention to Detail	IM	4.43	27	.14	4.13	4.72	N	12/2004	Incumbent
11-3041.00	1.C.5.c	Integrity	IM	4.83	27	.1	4.63	5	N	12/2004	Incumbent
11-3041.00	1.C.6	Independence	IM	3.95	27	.19	3.55	4.35	N	12/2004	Incumbent
11-3041.00	1.C.7.a	Innovation	IM	3.85	27	.16	3.52	4.18	N	12/2004	Incumbent
11-3041.00	1.C.7.b	Analytical Thinking	IM	4.05	27	.08	3.88	4.22	N	12/2004	Incumbent
11-3042.00	1.C.1.a	Achievement/Effort	IM	3.7	20	.3	3.07	4.32	N	7/2004	Incumbent
11-3042.00	1.C.1.b	Persistence	IM	3.52	20	.34	2.8	4.24	N	7/2004	Incumbent
11-3042.00	1.C.1.c	Initiative	IM	4.31	20	.16	3.98	4.64	N	7/2004	Incumbent
11-3042.00	1.C.2.b	Leadership	IM	3.9	20	.35	3.17	4.64	N	7/2004	Incumbent
11-3042.00	1.C.3.a	Cooperation	IM	4.51	20	.2	4.1	4.92	N	7/2004	Incumbent
11-3042.00	1.C.3.b	Concern for Others	IM	4.28	20	.14	3.99	4.57	N	7/2004	Incumbent
11-3042.00	1.C.3.c	Social Orientation	IM	4.14	20	.15	3.83	4.45	N	7/2004	Incumbent
11-3042.00	1.C.4.a	Self Control	IM	4.34	20	.16	4.01	4.67	N	7/2004	Incumbent
11-3042.00	1.C.4.b	Stress Tolerance	IM	3.8	20	.32	3.14	4.46	N	7/2004	Incumbent
11-3042.00	1.C.4.c	Adaptability/Flexibility	IM	3.94	20	.35	3.21	4.68	N	7/2004	Incumbent
11-3042.00	1.C.5.a	Dependability	IM	4.41	20	.17	4.05	4.77	N	7/2004	Incumbent
11-3042.00	1.C.5.b	Attention to Detail	IM	4.52	20	.2	4.11	4.94	N	7/2004	Incumbent
11-3042.00	1.C.5.c	Integrity	IM	4.63	20	.23	4.15	5	N	7/2004	Incumbent
11-3042.00	1.C.6	Independence	IM	4.12	20	.25	3.6	4.64	N	7/2004	Incumbent
11-3042.00	1.C.7.a	Innovation	IM	3.8	20	.28	3.22	4.38	N	7/2004	Incumbent
11-3042.00	1.C.7.b	Analytical Thinking	IM	4.1	20	.14	3.79	4.4	N	7/2004	Incumbent
11-3051.00	1.C.1.a	Achievement/Effort	IM	4.09	22	.22	3.64	4.54	N	3/2003	Incumbent
11-3051.00	1.C.1.b	Persistence	IM	4.08	22	.16	3.75	4.4	N	3/2003	Incumbent
11-3051.00	1.C.1.c	Initiative	IM	4.27	22	.16	3.93	4.6	N	3/2003	Incumbent
11-3051.00	1.C.2.b	Leadership	IM	4.53	22	.14	4.24	4.82	N	3/2003	Incumbent
11-3051.00	1.C.3.a	Cooperation	IM	4.23	22	.12	3.98	4.47	N	3/2003	Incumbent
11-3051.00	1.C.3.b	Concern for Others	IM	3.96	22	.22	3.49	4.42	N	3/2003	Incumbent
11-3051.00	1.C.3.c	Social Orientation	IM	3.91	22	.24	3.4	4.42	N	3/2003	Incumbent
11-3051.00	1.C.4.a	Self Control	IM	4.23	22	.12	3.99	4.48	N	3/2003	Incumbent
11-3051.00	1.C.4.b	Stress Tolerance	IM	4.23	22	.13	3.95	4.5	N	3/2003	Incumbent
11-3051.00	1.C.4.c	Adaptability/Flexibility	IM	4.45	22	.14	4.15	4.75	N	3/2003	Incumbent
11-3051.00	1.C.5.a	Dependability	IM	4.26	22	.18	3.89	4.63	N	3/2003	Incumbent
11-3051.00	1.C.5.b	Attention to Detail	IM	4.46	22	.15	4.15	4.77	N	3/2003	Incumbent
11-3051.00	1.C.5.c	Integrity	IM	4.45	22	.17	4.09	4.81	N	3/2003	Incumbent
11-3051.00	1.C.6	Independence	IM	4.14	22	.14	3.85	4.43	N	3/2003	Incumbent
11-3051.00	1.C.7.a	Innovation	IM	3.95	22	.24	3.44	4.45	N	3/2003	Incumbent
11-3051.00	1.C.7.b	Analytical Thinking	IM	3.96	22	.24	3.46	4.46	N	3/2003	Incumbent
11-3061.00	1.C.1.a	Achievement/Effort	IM	4.46	24	.26	3.93	4.99	N	7/2004	Incumbent
11-3061.00	1.C.1.b	Persistence	IM	4.4	24	.28	3.83	4.97	N	7/2004	Incumbent
11-3061.00	1.C.1.c	Initiative	IM	4.25	24	.18	3.88	4.62	N	7/2004	Incumbent
11-3061.00	1.C.2.b	Leadership	IM	4.15	24	.13	3.87	4.42	N	7/2004	Incumbent
11-3061.00	1.C.3.a	Cooperation	IM	3.9	24	.09	3.7	4.1	N	7/2004	Incumbent
11-3061.00	1.C.3.b	Concern for Others	IM	3.73	24	.14	3.44	4.02	N	7/2004	Incumbent
11-3061.00	1.C.3.c	Social Orientation	IM	3.6	24	.18	3.22	3.98	N	7/2004	Incumbent
11-3061.00	1.C.4.a	Self Control	IM	3.86	24	.15	3.54	4.18	N	7/2004	Incumbent
11-3061.00	1.C.4.b	Stress Tolerance	IM	4.43	24	.26	3.89	4.97	N	7/2004	Incumbent
11-3061.00	1.C.4.c	Adaptability/Flexibility	IM	3.93	24	.22	3.47	4.39	N	7/2004	Incumbent
11-3061.00	1.C.5.a	Dependability	IM	4.48	24	.25	3.96	5	N	7/2004	Incumbent
11-3061.00	1.C.5.b	Attention to Detail	IM	4.41	23	.27	3.84	4.97	N	7/2004	Incumbent
11-3061.00	1.C.5.c	Integrity	IM	4.69	24	.2	4.27	5	N	7/2004	Incumbent
11-3061.00	1.C.6	Independence	IM	3.85	24	.2	3.43	4.26	N	7/2004	Incumbent
11-3061.00	1.C.7.a	Innovation	IM	3.85	24	.12	3.6	4.09	N	7/2004	Incumbent
11-3061.00	1.C.7.b	Analytical Thinking	IM	3.78	24	.14	3.5	4.06	N	7/2004	Incumbent
11-3071.01	1.C.1.a	Achievement/Effort	IM	4.19	27	.41	3.34	5	N	7/2004	Incumbent
11-3071.01	1.C.1.b	Persistence	IM	4.03	27	.45	3.1	4.95	N	7/2004	Incumbent
11-3071.01	1.C.1.c	Initiative	IM	4.19	27	.37	3.44	4.95	N	7/2004	Incumbent
11-3071.01	1.C.2.b	Leadership	IM	4.35	27	.26	3.81	4.89	N	7/2004	Incumbent
11-3071.01	1.C.3.a	Cooperation	IM	4.76	27	.15	4.46	5	N	7/2004	Incumbent
11-3071.01	1.C.3.b	Concern for Others	IM	4.67	27	.18	4.3	5	N	7/2004	Incumbent
11-3071.01	1.C.3.c	Social Orientation	IM	4.3	27	.31	3.66	4.94	N	7/2004	Incumbent
11-3071.01	1.C.4.a	Self Control	IM	4.76	27	.15	4.46	5	N	7/2004	Incumbent
11-3071.01	1.C.4.b	Stress Tolerance	IM	4.51	27	.21	4.08	4.94	N	7/2004	Incumbent
11-3071.01	1.C.4.c	Adaptability/Flexibility	IM	4.23	27	.35	3.52	4.95	N	7/2004	Incumbent
11-3071.01	1.C.5.a	Dependability	IM	4.77	27	.12	4.53	5	N	7/2004	Incumbent
11-3071.01	1.C.5.b	Attention to Detail	IM	4.54	27	.19	4.16	4.92	N	7/2004	Incumbent
11-3071.01	1.C.5.c	Integrity	IM	4.49	27	.24	3.99	4.98	N	7/2004	Incumbent
11-3071.01	1.C.6	Independence	IM	4.27	27	.33	3.58	4.95	N	7/2004	Incumbent
11-3071.01	1.C.7.a	Innovation	IM	3.78	27	.5	2.76	4.81	N	7/2004	Incumbent
11-3071.01	1.C.7.b	Analytical Thinking	IM	4.08	26	.39	3.29	4.88	N	7/2004	Incumbent
11-3071.02	1.C.1.a	Achievement/Effort	IM	4.34	23	.21	3.91	4.77	N	12/2004	Incumbent
11-3071.02	1.C.1.b	Persistence	IM	4.12	23	.19	3.71	4.52	N	12/2004	Incumbent
11-3071.02	1.C.1.c	Initiative	IM	4.66	23	.14	4.36	4.96	N	12/2004	Incumbent
11-3071.02	1.C.2.b	Leadership	IM	4.59	23	.19	4.2	4.98	N	12/2004	Incumbent
11-3071.02	1.C.3.a	Cooperation	IM	4.55	23	.19	4.16	4.94	N	12/2004	Incumbent
11-3071.02	1.C.3.b	Concern for Others	IM	4.02	23	.3	3.4	4.64	N	12/2004	Incumbent
11-3071.02	1.C.3.c	Social Orientation	IM	4.26	23	.21	3.83	4.7	N	12/2004	Incumbent
11-3071.02	1.C.4.a	Self Control	IM	4.34	23	.23	3.87	4.82	N	12/2004	Incumbent
11-3071.02	1.C.4.b	Stress Tolerance	IM	4.39	23	.19	4	4.79	N	12/2004	Incumbent
11-3071.02	1.C.4.c	Adaptability/Flexibility	IM	4.56	23	.18	4.2	4.93	N	12/2004	Incumbent
11-3071.02	1.C.5.a	Dependability	IM	4.59	23	.18	4.21	4.97	N	12/2004	Incumbent
11-3071.02	1.C.5.b	Attention to Detail	IM	4.51	23	.34	3.8	5	N	12/2004	Incumbent
11-3071.02	1.C.5.c	Integrity	IM	4.61	23	.17	4.26	4.96	N	12/2004	Incumbent
11-3071.02	1.C.6	Independence	IM	4.32	23	.21	3.88	4.76	N	12/2004	Incumbent
11-3071.02	1.C.7.a	Innovation	IM	3.79	23	.31	3.14	4.44	N	12/2004	Incumbent
11-3071.02	1.C.7.b	Analytical Thinking	IM	3.8	23	.13	3.52	4.08	N	12/2004	Incumbent
11-9021.00	1.C.1.a	Achievement/Effort	IM	3.41	21	.32	2.75	4.07	N	12/2004	Incumbent
11-9021.00	1.C.1.b	Persistence	IM	4	21	.25	3.49	4.52	N	12/2004	Incumbent
11-9021.00	1.C.1.c	Initiative	IM	4.13	21	.24	3.62	4.63	N	12/2004	Incumbent
11-9021.00	1.C.2.b	Leadership	IM	4.26	21	.26	3.71	4.81	N	12/2004	Incumbent
11-9021.00	1.C.3.a	Cooperation	IM	4.14	21	.22	3.67	4.61	N	12/2004	Incumbent
11-9021.00	1.C.3.b	Concern for Others	IM	3.99	21	.21	3.55	4.42	N	12/2004	Incumbent
11-9021.00	1.C.3.c	Social Orientation	IM	3.67	21	.27	3.1	4.24	N	12/2004	Incumbent
11-9021.00	1.C.4.a	Self Control	IM	4.26	21	.16	3.94	4.59	N	12/2004	Incumbent
11-9021.00	1.C.4.b	Stress Tolerance	IM	4.24	21	.15	3.92	4.56	N	12/2004	Incumbent
11-9021.00	1.C.4.c	Adaptability/Flexibility	IM	4.13	21	.17	3.77	4.48	N	12/2004	Incumbent
11-9021.00	1.C.5.a	Dependability	IM	4.4	21	.15	4.07	4.72	N	12/2004	Incumbent
11-9021.00	1.C.5.b	Attention to Detail	IM	4.59	21	.16	4.26	4.93	N	12/2004	Incumbent
11-9021.00	1.C.5.c	Integrity	IM	4.74	21	.11	4.51	4.97	N	12/2004	Incumbent
11-9021.00	1.C.6	Independence	IM	3.87	21	.21	3.43	4.31	N	12/2004	Incumbent
11-9021.00	1.C.7.a	Innovation	IM	4.15	21	.33	3.47	4.84	N	12/2004	Incumbent
11-9021.00	1.C.7.b	Analytical Thinking	IM	4.05	21	.3	3.42	4.67	N	12/2004	Incumbent
11-9041.00	1.C.1.a	Achievement/Effort	IM	3.99	19	.19	3.6	4.38	N	7/2004	Incumbent
11-9041.00	1.C.1.b	Persistence	IM	3.92	19	.24	3.42	4.42	N	7/2004	Incumbent
11-9041.00	1.C.1.c	Initiative	IM	3.76	19	.19	3.36	4.16	N	7/2004	Incumbent
11-9041.00	1.C.2.b	Leadership	IM	3.77	19	.33	3.08	4.45	N	7/2004	Incumbent
11-9041.00	1.C.3.a	Cooperation	IM	3.87	19	.26	3.33	4.41	N	7/2004	Incumbent
11-9041.00	1.C.3.b	Concern for Others	IM	3.58	19	.28	2.99	4.17	N	7/2004	Incumbent
11-9041.00	1.C.3.c	Social Orientation	IM	3.33	19	.31	2.68	3.97	N	7/2004	Incumbent
11-9041.00	1.C.4.a	Self Control	IM	3.96	19	.22	3.5	4.42	N	7/2004	Incumbent
11-9041.00	1.C.4.b	Stress Tolerance	IM	4	19	.14	3.71	4.3	N	7/2004	Incumbent
11-9041.00	1.C.4.c	Adaptability/Flexibility	IM	3.87	19	.24	3.38	4.37	N	7/2004	Incumbent
11-9041.00	1.C.5.a	Dependability	IM	4.21	19	.23	3.72	4.71	N	7/2004	Incumbent
11-9041.00	1.C.5.b	Attention to Detail	IM	4.1	19	.22	3.65	4.56	N	7/2004	Incumbent
11-9041.00	1.C.5.c	Integrity	IM	4.11	19	.24	3.61	4.62	N	7/2004	Incumbent
11-9041.00	1.C.6	Independence	IM	3.49	19	.18	3.11	3.87	N	7/2004	Incumbent
11-9041.00	1.C.7.a	Innovation	IM	3.67	19	.18	3.3	4.04	N	7/2004	Incumbent
